oldcode;dis_nom;dep_code;dep_nom;spr_code;spr_nom;pop_tot;men_tot;men_ecl_elec;men_ecl_group;men_ecl_solaire;men_ecl_lampe;men_ecl_bois;men_ecl_torche;men_ecl_autre
CI090103;Montagnes;I6;Bloléquin;I603;Doké;35677;7767;1977;38;2706;86;8;2948;4
CI090104;Montagnes;I6;Bloléquin;I604;Tinhou;22744;4769;374;28;2805;1;22;1513;26
CI090105;Montagnes;I6;Bloléquin;I605;Zéaglo;31631;6559;1354;37;3570;1;28;1568;1
CI090202;Montagnes;I7;Guiglo;I701;Bédi-Gaozon;26618;5286;440;50;3106;6;9;1674;1
CI090201;Montagnes;I7;Guiglo;I702;Guiglo;171454;31791;16801;198;10689;299;29;3769;6
CI090203;Montagnes;I7;Guiglo;I703;Kaadé;39413;7015;825;49;4194;191;29;1726;1
CI090204;Montagnes;I7;Guiglo;I704;Nizahon;21897;3237;1058;15;1902;7;2;247;6
CI090301;Montagnes;I8;Taï;I801;Taï;42909;9238;3949;81;4006;54;10;1123;15
CI090302;Montagnes;I8;Taï;I802;Zagné;74478;15876;5188;777;8119;43;18;1648;83
CI090402;Montagnes;I9;Toulepleu;I901;Bakoubly;7186;1537;801;0;121;4;1;609;1
CI090403;Montagnes;I9;Toulepleu;I902;Méo;22012;4719;588;37;3028;6;8;1052;0
CI090404;Montagnes;I9;Toulepleu;I903;Nézobly;9300;1130;235;6;273;1;1;614;0
CI090405;Montagnes;I9;Toulepleu;I904;Péhé;17609;3227;1485;3;446;94;3;1196;0
CI090406;Montagnes;I9;Toulepleu;I905;Tiobly;9742;1807;711;6;423;116;5;546;0
CI090401;Montagnes;I9;Toulepleu;I906;Toulepleu;27680;5671;3628;25;729;53;2;1215;19
CI160101;Montagnes;IA;Bangolo;IA01;Bangolo;56415;12169;7327;58;1653;29;12;3085;5
CI160102;Montagnes;IA;Bangolo;IA02;Béoué-Zibiao;18297;3585;558;37;1447;82;6;1453;2
CI160103;Montagnes;IA;Bangolo;IA03;Bléniméouin;18593;2754;97;15;1911;26;5;700;0
CI160104;Montagnes;IA;Bangolo;IA04;Diéouzon;18316;3472;1778;14;897;7;7;769;0
CI160105;Montagnes;IA;Bangolo;IA05;Gohouo-Zagna;15564;2290;868;12;804;36;3;499;68
CI160106;Montagnes;IA;Bangolo;IA06;Guinglo-Tahouaké;17999;3268;17;12;2099;36;5;1093;6
CI160107;Montagnes;IA;Bangolo;IA07;Kahin-Zarabaon;59759;10211;1935;65;6662;30;16;1466;37
CI160108;Montagnes;IA;Bangolo;IA08;Zéo;12822;2641;653;20;675;1;4;1285;3
CI160109;Montagnes;IA;Bangolo;IA09;Zou;52864;8820;1670;54;5325;103;11;1587;70
CI160201;Montagnes;IB;Duékoué;IB01;Bagohouo;30001;4921;13;43;3329;2;4;1530;0
CI160202;Montagnes;IB;Duékoué;IB02;Duékoué;220953;43377;28759;251;9292;286;71;4703;15
CI160203;Montagnes;IB;Duékoué;IB03;Gbapleu;60833;9211;2556;67;4873;25;13;1674;3
CI160204;Montagnes;IB;Duékoué;IB04;Guéhiébly;52689;8583;2649;63;3782;76;8;1993;12
CI160205;Montagnes;IB;Duékoué;IB05;Guézon;56435;9198;4740;39;2506;63;36;1814;0
CI160301;Montagnes;IC;Facobly;IC01;Facobly;27352;5052;4020;16;239;48;7;704;18
CI160302;Montagnes;IC;Facobly;IC02;Guézon;10208;1790;986;7;391;10;5;390;1
CI160303;Montagnes;IC;Facobly;IC03;Koua;11892;2017;702;9;501;9;3;793;0
CI160304;Montagnes;IC;Facobly;IC04;Sémien;35636;5440;1270;57;2362;97;6;1644;4
CI160305;Montagnes;IC;Facobly;IC05;Tiény-Séably;9522;1816;1554;0;39;0;6;216;1
CI160401;Montagnes;ID;Kouibly;ID01;Kouibly;49047;7619;4025;40;2181;168;15;1174;16
CI160402;Montagnes;ID;Kouibly;ID02;Nidrou;12953;2927;1578;30;589;9;7;714;0
CI160403;Montagnes;ID;Kouibly;ID03;Ouyably-Gnondrou;61786;8616;185;107;6790;59;29;1443;3
CI160404;Montagnes;ID;Kouibly;ID04;Totrodrou;20936;4125;1438;30;1687;11;5;950;4
CI180101;Sassandra-Marahoue;J1;Daloa;J101;Bédiala;84474;12125;7284;47;2584;140;34;2036;0
CI180102;Sassandra-Marahoue;J1;Daloa;J102;Daloa;421879;80584;67831;411;6775;547;73;4903;44
CI180103;Sassandra-Marahoue;J1;Daloa;J103;Gadouan;62056;9546;5074;110;2660;115;18;1551;18
CI180104;Sassandra-Marahoue;J1;Daloa;J104;Gboguhé;69020;11154;6456;37;2256;66;17;2320;2
CI180105;Sassandra-Marahoue;J1;Daloa;J105;Gonaté;44611;7198;4326;74;1433;33;11;1316;5
CI180106;Sassandra-Marahoue;J1;Daloa;J106;Zaibo;23338;3632;1286;16;1782;44;4;497;3
CI180202;Sassandra-Marahoue;J2;Issia;J201;Boguédia;26336;4466;3337;58;473;64;8;522;4
CI180203;Sassandra-Marahoue;J2;Issia;J202;Iboguhé;56481;9181;3750;110;3572;137;12;1590;10
CI180201;Sassandra-Marahoue;J2;Issia;J203;Issia;126252;23248;18598;89;2064;230;47;2171;49
CI180204;Sassandra-Marahoue;J2;Issia;J204;Nahio;22943;4223;2636;36;916;30;12;591;2
CI180205;Sassandra-Marahoue;J2;Issia;J205;Namané;44527;7486;29;85;6251;31;10;1076;4
CI180206;Sassandra-Marahoue;J2;Issia;J206;Saïoua;100085;17517;9726;120;4394;238;25;3001;13
CI180207;Sassandra-Marahoue;J2;Issia;J207;Tapéguia;34004;5666;3792;26;1010;104;30;701;3
CI180302;Sassandra-Marahoue;J3;Vavoua;J301;Bazra-Nattis;67048;8326;2007;261;3828;283;70;1814;63
CI180303;Sassandra-Marahoue;J3;Vavoua;J302;Dananon;36746;4679;1164;80;2500;11;16;908;0
CI180304;Sassandra-Marahoue;J3;Vavoua;J303;Dania;106612;14938;885;349;10922;96;31;2597;58
CI180305;Sassandra-Marahoue;J3;Vavoua;J304;Kétro-Bassam;24968;3062;68;21;1616;12;12;1331;2
CI180306;Sassandra-Marahoue;J3;Vavoua;J305;Seitifla;109252;14250;435;145;10361;66;38;3196;9
CI180301;Sassandra-Marahoue;J3;Vavoua;J306;Vavoua;132528;21222;14174;199;4117;91;35;2591;15
CI180402;Sassandra-Marahoue;J4;Zoukougbeu;J401;Domangbeu;18183;2750;15;150;2182;11;11;377;4
CI180403;Sassandra-Marahoue;J4;Zoukougbeu;J402;Grégbeu;26505;4702;2150;22;1338;97;63;1024;8
CI180404;Sassandra-Marahoue;J4;Zoukougbeu;J403;Guéssabo;41931;7099;3832;49;1810;20;47;1333;8
CI180401;Sassandra-Marahoue;J4;Zoukougbeu;J404;Zoukougbeu;59918;10448;5987;164;1932;93;21;2217;34
CI230102;Sassandra-Marahoue;J5;Bonon;J501;Bonon;116871;18735;10172;557;5100;63;101;2728;14
CI230107;Sassandra-Marahoue;J5;Bonon;J502;Zaguiéta;50525;6731;4062;95;911;102;25;1536;0
CI230101;Sassandra-Marahoue;J6;Bouaflé;J601;Bégbéssou;24476;5519;3465;28;739;28;9;1248;2
CI230103;Sassandra-Marahoue;J6;Bouaflé;J602;Bouaflé;213967;45210;33511;457;4692;584;54;5845;67
CI230104;Sassandra-Marahoue;J6;Bouaflé;J603;N'Douffoukankro;20025;3575;2861;14;218;35;31;408;8
CI230105;Sassandra-Marahoue;J6;Bouaflé;J604;Pakouabo;19597;4411;2353;17;737;8;7;1287;2
CI230106;Sassandra-Marahoue;J6;Bouaflé;J605;Tibéita;22239;4301;2354;51;949;34;23;887;3
CI230302;Sassandra-Marahoue;J7;Gohitafla;J701;Gohitafla;46470;6249;5127;47;276;189;6;602;2
CI230303;Sassandra-Marahoue;J7;Gohitafla;J702;Iriéfla;8406;1107;806;3;113;13;0;170;2
CI230305;Sassandra-Marahoue;J7;Gohitafla;J703;Maminigui;28495;4012;2877;18;382;42;24;669;0
CI230202;Sassandra-Marahoue;J8;Sinfra;J801;Bazré;30562;5277;2044;45;1592;106;12;1476;2
CI230203;Sassandra-Marahoue;J8;Sinfra;J802;Kononfla;55427;10195;6107;57;1372;54;12;2591;2
CI230204;Sassandra-Marahoue;J8;Sinfra;J803;Kouétinfla;22028;4871;2217;36;1048;16;22;1532;0
CI230201;Sassandra-Marahoue;J8;Sinfra;J804;Sinfra;137210;24635;18755;150;1802;345;28;3541;14
CI230304;Sassandra-Marahoue;J9;Zuénoula;J901;Kanzra;36674;5605;1565;16;1499;57;30;2437;1
CI230306;Sassandra-Marahoue;J9;Zuénoula;J902;Voueboufla;25213;4779;2280;28;1742;10;3;714;2
CI230307;Sassandra-Marahoue;J9;Zuénoula;J903;Zanzra;44381;7278;4639;115;1704;13;4;801;2
CI230301;Sassandra-Marahoue;J9;Zuénoula;J904;Zuénoula;78613;14815;11708;34;833;28;25;2187;0
CI280101;Savanes;K1;Dikodougou;K101;Boron;34308;4587;995;33;2892;17;11;636;3
CI280102;Savanes;K1;Dikodougou;K102;Dikodougou;47935;7362;2693;20;2986;9;71;1583;0
CI280103;Savanes;K1;Dikodougou;K103;Guiembé;19872;3195;1074;10;957;8;2;1143;1
CI280202;Savanes;K2;Korhogo;K201;Dassoungboho;8703;1381;867;6;275;0;4;214;15
CI280203;Savanes;K2;Korhogo;K202;Kanoroba;24548;3436;750;16;1063;121;15;1471;0
CI280204;Savanes;K2;Korhogo;K203;Karakoro;22982;3498;2163;8;445;72;1;809;0
CI280205;Savanes;K2;Korhogo;K204;Kiémou;31958;5822;1367;243;2926;55;11;1220;0
CI280206;Savanes;K2;Korhogo;K205;Kombolokoura;8930;1776;994;23;330;1;2;426;0
CI280207;Savanes;K2;Korhogo;K206;Komborodougou;16703;2810;1690;5;498;10;4;597;6
CI280208;Savanes;K2;Korhogo;K207;Koni;17054;2699;1756;27;180;90;2;644;0
CI280201;Savanes;K2;Korhogo;K208;Korhogo;440926;81738;75172;234;2219;421;44;3626;22
CI280209;Savanes;K2;Korhogo;K209;Lataha;26895;4516;2336;22;1096;56;9;997;0
CI280211;Savanes;K2;Korhogo;K210;Nafoun;10206;1442;769;3;246;19;1;404;0
CI280212;Savanes;K2;Korhogo;K211;Napiéléodougou;31004;6429;3622;104;1276;97;10;1317;3
CI280210;Savanes;K2;Korhogo;K212;N'Ganon;9181;1767;744;13;488;6;5;509;2
CI280213;Savanes;K2;Korhogo;K213;Niofoin;36772;6844;2671;33;1646;50;27;2410;7
CI280214;Savanes;K2;Korhogo;K214;Sirasso;29633;4495;1852;28;1599;8;17;989;2
CI280215;Savanes;K2;Korhogo;K215;Sohouo;11434;1907;892;0;145;10;1;859;0
CI280216;Savanes;K2;Korhogo;K216;Tioroniaradougou;21464;3424;2492;5;233;26;4;664;0
CI280302;Savanes;K3;M'Bengué;K301;Bougou;16369;1667;714;13;535;13;3;388;1
CI280303;Savanes;K3;M'Bengué;K302;Katiali;13074;1810;883;21;457;7;7;435;0
CI280304;Savanes;K3;M'Bengué;K303;Katogo;19749;2912;2037;5;548;34;2;286;0
CI280301;Savanes;K3;M'Bengué;K304;M'Bengué;65779;11963;7938;31;1700;31;14;2235;14
CI280402;Savanes;K4;Sinématiali;K401;Bahouakaha;6300;1066;863;0;24;22;3;151;3
CI280403;Savanes;K4;Sinématiali;K402;Kagbolodougou;10153;1783;1219;9;103;11;13;425;3
CI280404;Savanes;K4;Sinématiali;K403;Sédiogo;6600;1181;817;62;108;28;0;166;0
CI280401;Savanes;K4;Sinématiali;K404;Sinématiali;51929;8663;4923;39;1562;199;27;1912;1
CI310101;Savanes;K5;Ferkessédougou;K501;Ferkéssédougou;160267;29865;18980;296;5601;321;49;4587;31
CI310102;Savanes;K5;Ferkessédougou;K502;Koumbala;14531;2085;227;10;1086;7;11;740;4
CI310103;Savanes;K5;Ferkessédougou;K503;Togoniéré;15342;2487;500;6;1073;1;3;904;0
CI310202;Savanes;K6;Kong;K601;Bilimono;28740;4072;1173;72;1589;11;13;1211;3
CI310201;Savanes;K6;Kong;K602;Kong;33391;5917;3090;11;1276;70;19;1449;2
CI310203;Savanes;K6;Kong;K603;Nafana;28439;4032;879;28;2082;6;35;1002;0
CI310204;Savanes;K6;Kong;K604;Sikolo;27733;5371;1142;22;1927;34;3;2242;1
CI310302;Savanes;K7;Ouangolodougou;K701;Diawala;85334;8067;3510;83;3478;10;29;956;1
CI310303;Savanes;K7;Ouangolodougou;K702;Kaouara;33558;4142;1115;85;2012;20;3;904;3
CI310304;Savanes;K7;Ouangolodougou;K703;Niellé;48524;5501;2705;17;2226;42;8;503;0
CI310301;Savanes;K7;Ouangolodougou;K704;Ouangolodougou;82801;13218;8675;27;2805;100;66;1537;8
CI310305;Savanes;K7;Ouangolodougou;K705;Toumoukoro;44423;4959;2939;21;1333;10;10;644;2
CI050101;Savanes;K8;Boundiali;K801;Baya;16715;2019;1603;9;136;6;1;264;0
CI050102;Savanes;K8;Boundiali;K802;Boundiali;92792;13905;9941;78;2003;116;26;1733;8
CI050103;Savanes;K8;Boundiali;K803;Ganaoni;25216;3676;1430;18;1340;16;27;845;0
CI050104;Savanes;K8;Boundiali;K804;Kasséré;39106;5711;4509;12;609;19;6;556;0
CI050105;Savanes;K8;Boundiali;K805;Siempurgo;24713;4102;2553;23;624;12;34;855;1
CI050202;Savanes;K9;Kouto;K901;Blességué;21345;2364;815;187;1077;21;2;262;0
CI050203;Savanes;K9;Kouto;K902;Gbon;32189;2819;1921;18;636;4;0;238;2
CI050204;Savanes;K9;Kouto;K903;Kolia;32113;3097;2432;2;277;9;1;365;11
CI050201;Savanes;K9;Kouto;K904;Kouto;55893;5958;4728;39;596;49;9;536;1
CI050205;Savanes;K9;Kouto;K905;Sianhala;34048;2694;2502;3;45;18;3;123;0
CI050302;Savanes;KA;Tengrela;KA01;Débété;5229;699;487;1;156;1;1;53;0
CI050303;Savanes;KA;Tengrela;KA02;Kanakono;30630;4821;3375;23;1081;20;3;318;1
CI050304;Savanes;KA;Tengrela;KA03;Papara;13448;3443;1856;36;1019;0;12;519;1
CI050301;Savanes;KA;Tengrela;KA04;Tengrela;92454;13496;11202;35;1314;24;14;906;1
CI110101;Vallée du Bandama;L1;Béoumi;L101;Ando-Kékrénou;16826;2618;1574;27;100;6;4;907;0
CI110102;Vallée du Bandama;L1;Béoumi;L102;Béoumi;85600;15381;10153;308;950;255;11;3699;5
CI110103;Vallée du Bandama;L1;Béoumi;L103;Bodokro;37048;5223;2137;50;1005;80;17;1927;7
CI110104;Vallée du Bandama;L1;Béoumi;L104;Kondrobo;18052;2534;386;25;903;4;3;1211;2
CI110105;Vallée du Bandama;L1;Béoumi;L105;Lolobo;11586;1592;843;7;135;3;1;602;1
CI110106;Vallée du Bandama;L1;Béoumi;L106;Marabadiassa;10664;1870;878;8;432;6;4;537;5
CI110107;Vallée du Bandama;L1;Béoumi;L107;N'Guéssankro;15239;2198;1195;7;269;14;1;707;5
CI110201;Vallée du Bandama;L2;Botro;L201;Botro;36461;5547;3232;5;229;14;14;2053;0
CI110202;Vallée du Bandama;L2;Botro;L202;Diabo;35761;5539;3495;214;548;24;7;1228;23
CI110203;Vallée du Bandama;L2;Botro;L203;Krofoinsou;13402;1999;196;4;619;2;3;1173;2
CI110204;Vallée du Bandama;L2;Botro;L204;Languibonou;32300;5224;3181;10;375;27;7;1622;2
CI110301;Vallée du Bandama;L3;Bouaké;L301;Bouaké;832371;152187;142867;564;2566;553;51;5544;42
CI110302;Vallée du Bandama;L3;Bouaké;L302;Bounda;15710;1975;826;14;343;23;24;744;1
CI110303;Vallée du Bandama;L3;Bouaké;L303;Brobo;22780;4123;2536;15;227;95;8;1240;2
CI110304;Vallée du Bandama;L3;Bouaké;L304;Djébonoua;40481;6242;3444;14;583;31;5;2165;0
CI110305;Vallée du Bandama;L3;Bouaké;L305;Mamini;20509;2953;791;19;430;25;5;1683;0
CI110402;Vallée du Bandama;L4;Sakassou;L401;Ayaou-Sran;16278;3431;1887;11;529;46;2;955;1
CI110403;Vallée du Bandama;L4;Sakassou;L402;Dibri-Assirikro;18405;3043;1284;16;351;93;2;1296;1
CI110401;Vallée du Bandama;L4;Sakassou;L403;Sakassou;69386;13362;8642;29;832;27;252;3572;8
CI110404;Vallée du Bandama;L4;Sakassou;L404;Toumodi-Sakassou;4041;981;761;0;4;1;0;215;0
CI170101;Vallée du Bandama;L5;Dabakala;L501;Bassawa;21487;4376;2022;17;871;69;6;1386;5
CI170102;Vallée du Bandama;L5;Dabakala;L502;Bonieredougou;27696;6095;2983;16;1259;43;28;1766;0
CI170103;Vallée du Bandama;L5;Dabakala;L503;Dabakala;78634;14894;10509;60;2281;137;11;1838;58
CI170104;Vallée du Bandama;L5;Dabakala;L504;Foumbolo;29022;7200;2726;27;2085;125;60;2166;11
CI170105;Vallée du Bandama;L5;Dabakala;L505;Niéméné;16684;3582;2082;8;422;38;12;1019;1
CI170106;Vallée du Bandama;L5;Dabakala;L506;Satama-Sokoro;26163;6048;4471;23;203;352;5;994;0
CI170107;Vallée du Bandama;L5;Dabakala;L507;Satama-Sokoura;13067;3004;2495;0;172;30;6;301;0
CI170108;Vallée du Bandama;L5;Dabakala;L508;Sokala-Sobara;17824;2922;2391;9;180;1;2;339;0
CI170109;Vallée du Bandama;L5;Dabakala;L509;Tendéné-Bambarasso;15238;2648;612;188;991;32;11;813;1
CI170110;Vallée du Bandama;L5;Dabakala;L510;Yaossédougou;8616;1535;846;0;303;1;1;384;0
CI170202;Vallée du Bandama;L6;Katiola;L601;Fronan;56796;9327;6455;103;483;287;62;1936;1
CI170201;Vallée du Bandama;L6;Katiola;L602;Katiola;90641;18052;15666;73;483;481;122;1223;4
CI170203;Vallée du Bandama;L6;Katiola;L603;Timbé;15035;2694;1868;4;35;51;5;731;0
CI170302;Vallée du Bandama;L7;Niakaramandougou;L701;Arikokaha;13486;1807;833;4;343;4;2;621;0
CI170303;Vallée du Bandama;L7;Niakaramandougou;L702;Badikaha;27498;6261;4204;323;616;18;15;834;251
CI170301;Vallée du Bandama;L7;Niakaramandougou;L703;Niakaramandougou;78301;14306;6337;68;4480;158;38;3062;163
CI170304;Vallée du Bandama;L7;Niakaramandougou;L704;Niédiékaha;13193;2166;1433;6;361;8;7;351;0
CI170305;Vallée du Bandama;L7;Niakaramandougou;L705;Tafiré;32240;5490;3819;41;799;120;10;691;10
CI170306;Vallée du Bandama;L7;Niakaramandougou;L706;Tortiya;30409;5279;3487;37;1054;55;20;626;0
CI330102;Woroba;M1;Kani;M101;Djibrosso;22484;4710;2181;23;968;129;15;1387;7
CI330103;Woroba;M1;Kani;M102;Fadiadougou;34552;6362;3348;82;2225;55;1;649;2
CI330101;Woroba;M1;Kani;M103;Kani;55109;11327;6486;49;2413;128;87;2161;3
CI330104;Woroba;M1;Kani;M104;Morondo;19283;3641;2361;9;946;30;1;293;1
CI330202;Woroba;M2;Séguéla;M201;Bobi-Diarabana;25063;5800;3161;43;1446;34;8;1108;0
CI330203;Woroba;M2;Séguéla;M202;Dualla;9996;2489;1284;5;664;6;1;528;1
CI330204;Woroba;M2;Séguéla;M203;Kamalo;13584;2864;1603;8;499;17;2;735;0
CI330205;Woroba;M2;Séguéla;M204;Massala;40647;6181;1804;90;2986;33;10;1253;5
CI330201;Woroba;M2;Séguéla;M205;Séguéla;103980;18775;16046;121;945;260;11;1383;9
CI330206;Woroba;M2;Séguéla;M206;Sifié;31264;7223;2434;34;3170;23;19;1541;2
CI330207;Woroba;M2;Séguéla;M207;Worofla;66713;11173;4591;91;3799;40;19;2611;22
CI070101;Woroba;M3;Dianra;M301;Dianra;61527;111766;5088;51;4227;54;357;1399;0
CI070102;Woroba;M3;Dianra;M302;Dianra-Village;57619;9752;4799;55;4047;34;18;798;1
CI070202;Woroba;M4;Kounahiri;M401;Kongasso;37281;5462;1296;125;2521;86;38;1394;2
CI070201;Woroba;M4;Kounahiri;M402;Kounahiri;63830;9326;3621;40;2676;30;20;2910;29
CI070302;Woroba;M5;Mankono;M501;Bouandougou;45494;9705;4360;81;3824;53;13;1372;2
CI070301;Woroba;M5;Mankono;M502;Mankono;74165;11877;8177;113;2479;192;2;901;13
CI070303;Woroba;M5;Mankono;M503;Marandallah;42729;6243;1938;41;3546;80;7;627;4
CI070304;Woroba;M5;Mankono;M504;Sarhala;42450;9372;3620;370;4442;64;16;860;0
CI070305;Woroba;M5;Mankono;M505;Tiéningboué;67055;8640;3331;58;4295;110;16;816;14
CI040102;Woroba;M6;Koro;M601;Booko;22894;3429;900;16;1033;122;14;1342;2
CI040103;Woroba;M6;Koro;M602;Borotou;5202;781;427;5;85;38;2;221;3
CI040101;Woroba;M6;Koro;M603;Koro;33567;6780;5414;92;434;123;13;704;0
CI040104;Woroba;M6;Koro;M604;Mahandougou;6337;896;362;0;223;44;2;265;0
CI040105;Woroba;M6;Koro;M605;Niokosso;8346;1281;309;3;252;99;9;609;0
CI040202;Woroba;M7;Ouaninou;M701;Gbèlo;6369;1618;467;14;432;8;34;663;0
CI040203;Woroba;M7;Ouaninou;M702;Gouékan;4592;597;104;149;205;7;9;123;0
CI040204;Woroba;M7;Ouaninou;M703;Koonan;9970;1322;601;9;171;97;8;436;0
CI040201;Woroba;M7;Ouaninou;M704;Ouaninou;27919;4773;2258;14;424;128;73;1874;2
CI040205;Woroba;M7;Ouaninou;M705;Saboudougou;5225;870;133;6;126;16;4;584;1
CI040206;Woroba;M7;Ouaninou;M706;Santa;11906;1635;310;1;277;2;21;1024;0
CI040302;Woroba;M8;Touba;M801;Dioman;6375;1091;233;2;223;10;3;617;3
CI040303;Woroba;M8;Touba;M802;Foungbesso;24562;4433;2024;28;647;28;18;1684;4
CI040304;Woroba;M8;Touba;M803;Guintéguéla;34575;6261;1822;34;1904;91;24;2236;150
CI040301;Woroba;M8;Touba;M804;Touba;55013;10451;7849;47;1006;44;10;1488;7
CI140101;Zanzan;N1;Bondoukou;N101;Appimadoum;9920;2864;993;7;541;9;21;1292;1
CI140106;Zanzan;N1;Bondoukou;N102;Pinda-Boroko;5951;1499;1220;3;49;4;1;222;0
CI140102;Zanzan;N1;Bondoukou;N103;Bondo;28482;6479;4711;12;530;51;5;1170;0
CI140103;Zanzan;N1;Bondoukou;N104;Bondoukou;141568;36959;34085;129;463;130;22;2092;38
CI140104;Zanzan;N1;Bondoukou;N105;Gouméré;23870;5709;4021;7;223;147;25;1286;0
CI140105;Zanzan;N1;Bondoukou;N106;Laoudi-Ba;98053;23639;13149;434;3684;167;104;6095;6
CI140107;Zanzan;N1;Bondoukou;N107;Sapli-Sépingo;12403;2786;2627;15;12;4;2;126;0
CI140108;Zanzan;N1;Bondoukou;N108;Sorobango;34797;8921;6990;11;349;102;6;1437;26
CI140109;Zanzan;N1;Bondoukou;N109;Tabagne;26909;6990;5666;6;209;104;1;1000;4
CI140110;Zanzan;N1;Bondoukou;N110;Tagadi;35143;7436;820;49;2662;78;204;3568;55
CI140111;Zanzan;N1;Bondoukou;N111;Taoudi;27917;6292;5186;2;121;179;7;797;0
CI140112;Zanzan;N1;Bondoukou;N112;Yézimala;8829;2769;2159;2;76;3;1;514;14
CI140202;Zanzan;N2;Koun Fao;N201;Boahia;11834;2153;1469;21;265;146;11;241;0
CI140203;Zanzan;N2;Koun Fao;N202;Kokomian;15090;2511;2243;15;23;6;7;160;57
CI140204;Zanzan;N2;Koun Fao;N203;Kouassi-Datékro;30328;7054;4044;82;684;61;8;2160;15
CI140201;Zanzan;N2;Koun Fao;N204;Koun-Fao;49280;10047;7666;36;850;38;10;1435;12
CI140205;Zanzan;N2;Koun Fao;N205;Tankessé;35940;7875;5893;36;580;97;10;1258;1
CI140206;Zanzan;N2;Koun Fao;N206;Tienkoikro;25409;4856;4130;18;139;10;5;542;12
CI140302;Zanzan;N3;Sandegue;N301;Bandakagni-Tomora;11264;2611;2206;1;92;36;29;244;3
CI140303;Zanzan;N3;Sandegue;N302;Dimandougou;9190;2404;1400;6;280;38;1;667;12
CI140301;Zanzan;N3;Sandegue;N303;Sandégué;26918;6638;3829;78;850;84;29;1766;2
CI140304;Zanzan;N3;Sandegue;N304;Yorobodi;22369;5655;3156;37;652;90;10;1675;35
CI140502;Zanzan;N4;Transua;N401;Assuéfry;45293;7748;5501;13;475;77;9;1665;8
CI140503;Zanzan;N4;Transua;N402;Kouassia-Niaguini;21522;2949;1825;15;449;95;1;555;9
CI140501;Zanzan;N4;Transua;N403;Transua;46026;8213;6379;20;269;114;27;1401;3
CI140402;Zanzan;N5;Tanda;N501;Amanvi;10141;2977;2292;11;93;75;1;505;0
CI140403;Zanzan;N5;Tanda;N502;Diamba;17045;3761;1316;26;433;19;10;1957;0
CI140401;Zanzan;N5;Tanda;N503;Tanda;69597;16100;13231;75;546;51;16;2178;3
CI140404;Zanzan;N5;Tanda;N504;Tchèdio;16740;3855;3247;12;46;45;0;474;31
CI080101;Zanzan;N6;Bouna;N601;Bouko;24550;3230;449;23;887;43;16;1762;50
CI080102;Zanzan;N6;Bouna;N602;Bouna;94883;17285;8232;288;3231;125;132;5244;33
CI080103;Zanzan;N6;Bouna;N603;Ondéfidouo;33822;4855;1655;40;818;8;21;2311;2
CI080105;Zanzan;N6;Bouna;N604;Youndouo;24826;3494;546;9;1203;9;7;1717;3
CI080104;Zanzan;N6;Bouna;N60X;Parc National de Bona;;;;;;;;;
CI080201;Zanzan;N7;Doropo;N701;Danoa;13502;1465;12;28;744;1;8;672;0
CI080202;Zanzan;N7;Doropo;N702;Doropo;48225;8269;4237;111;1303;21;19;2572;6
CI080203;Zanzan;N7;Doropo;N703;Kalamon;9236;1400;347;18;433;16;6;579;1
CI080204;Zanzan;N7;Doropo;N704;Niamoué;22423;2493;253;4;1249;47;9;930;1
CI080302;Zanzan;N8;Nassian;N801;Bogofa;10544;1937;721;1;213;7;11;984;0
CI080303;Zanzan;N8;Nassian;N802;Kakpin;8441;1719;249;4;786;4;29;634;13
CI080304;Zanzan;N8;Nassian;N803;Koutouba;14209;2516;1067;5;342;95;9;977;21
CI080301;Zanzan;N8;Nassian;N804;Nassian;27159;6267;3545;167;599;87;51;1817;1
CI080305;Zanzan;N8;Nassian;N805;Sominassé;11371;2079;1049;9;460;38;25;497;1
CI080402;Zanzan;N9;Téhini;N901;Gogo;23509;2328;193;6;796;3;84;1245;1
CI080401;Zanzan;N9;Téhini;N902;Téhini;29755;3483;412;67;1724;7;25;1244;4
CI080403;Zanzan;N9;Téhini;N903;Tougbo;30582;3772;484;51;2040;50;11;1133;3
