oldcode;dis_nom;dep_code;dep_nom;spr_code;spr_nom;pop_tot;men_tot;men_ecl_elec;men_ecl_group;men_ecl_solaire;men_ecl_lampe;men_ecl_bois;men_ecl_torche;men_ecl_autre
CI300104;Comoe;D4;Aboisso;D404;Ayamé;28272;5632;3891;50;1073;33;8;576;1
CI300105;Comoe;D4;Aboisso;D405;Bianouan;49647;8165;5787;20;1294;41;11;1012;0
CI300106;Comoe;D4;Aboisso;D406;Kouakro;34685;6780;4438;128;1098;66;20;1025;5
CI300107;Comoe;D4;Aboisso;D407;Maféré;46410;10134;8155;96;1143;72;21;642;5
CI300108;Comoe;D4;Aboisso;D408;Yaou;22213;3749;2729;9;507;2;4;498;0
CI300201;Comoe;D5;Adiaké;D501;Adiake;50556;10651;9520;49;228;121;8;724;1
CI300202;Comoe;D5;Adiaké;D502;Assinie-Mafia;21941;5208;4129;184;296;18;3;575;3
CI300203;Comoe;D5;Adiaké;D503;Etuéboué;15510;2541;1540;9;630;7;1;353;1
CI300301;Comoe;D6;Grand-Bassam;D601;Bongo;24148;5614;4499;17;561;72;13;449;3
CI300302;Comoe;D6;Grand-Bassam;D602;Bonoua;118388;27302;25370;219;787;95;14;815;2
CI300303;Comoe;D6;Grand-Bassam;D603;Grand-Bassam;124567;27232;26021;86;567;84;20;438;16
CI300402;Comoe;D7;Tiapoum;D701;Noé;24651;4335;3170;28;600;21;0;515;1
CI300403;Comoe;D7;Tiapoum;D702;Nouamou;17403;2491;2346;2;48;33;1;61;0
CI300401;Comoe;D7;Tiapoum;D703;Tiapoum;25887;4799;3943;8;407;65;9;367;0
CI210101;Denguele;E1;Gbeleban;E101;Gbéléban;4507;797;772;1;2;3;0;19;0
CI210102;Denguele;E1;Gbeleban;E102;Samango;17219;2680;2342;1;40;7;0;290;0
CI210103;Denguele;E1;Gbeleban;E103;Seydougou;7806;1013;988;0;1;2;0;22;0
CI210202;Denguele;E2;Madinani;E201;Fengolo;7462;693;584;5;62;5;1;35;1
CI210201;Denguele;E2;Madinani;E202;Madinani;32751;3558;3061;44;244;0;3;203;3
CI210203;Denguele;E2;Madinani;E203;N'Goloblasso;10035;930;818;14;70;0;0;28;0
