oldcode;dis_code;dis_nom;dep_code;dep_nom;spr_code;spr_nom;pop;men
CI280214;K;Savanes;K2;Korhogo;K214;Sirasso;29633;4495
CI280215;K;Savanes;K2;Korhogo;K215;Sohouo;11434;1907
CI280216;K;Savanes;K2;Korhogo;K216;Tioroniaradougou;21464;3424
CI280302;K;Savanes;K3;M'Bengué;K301;Bougou;16369;1667
CI280303;K;Savanes;K3;M'Bengué;K302;Katiali;13074;1810
CI280304;K;Savanes;K3;M'Bengué;K303;Katogo;19749;2912
CI280301;K;Savanes;K3;M'Bengué;K304;M'Bengué;65779;11963
CI280402;K;Savanes;K4;Sinématiali;K401;Bahouakaha;6300;1066
CI280403;K;Savanes;K4;Sinématiali;K402;Kagbolodougou;10153;1783
CI280404;K;Savanes;K4;Sinématiali;K403;Sédiogo;6600;1181
CI280401;K;Savanes;K4;Sinématiali;K404;Sinématiali;51929;8663
CI310101;K;Savanes;K5;Ferkessédougou;K501;Ferkéssédougou;160267;29865
CI310102;K;Savanes;K5;Ferkessédougou;K502;Koumbala;14531;2085
CI310103;K;Savanes;K5;Ferkessédougou;K503;Togoniéré;15342;2487
CI310202;K;Savanes;K6;Kong;K601;Bilimono;28740;4072
CI310201;K;Savanes;K6;Kong;K602;Kong;33391;5917
CI310203;K;Savanes;K6;Kong;K603;Nafana;28439;4032
CI310204;K;Savanes;K6;Kong;K604;Sikolo;27733;5371
CI310302;K;Savanes;K7;Ouangolodougou;K701;Diawala;85334;8067
CI310303;K;Savanes;K7;Ouangolodougou;K702;Kaouara;33558;4142
CI310304;K;Savanes;K7;Ouangolodougou;K703;Niellé;48524;5501
CI310301;K;Savanes;K7;Ouangolodougou;K704;Ouangolodougou;82801;13218
CI310305;K;Savanes;K7;Ouangolodougou;K705;Toumoukoro;44423;4959
CI050101;K;Savanes;K8;Boundiali;K801;Baya;16715;2019
CI050102;K;Savanes;K8;Boundiali;K802;Boundiali;92792;13905
CI050103;K;Savanes;K8;Boundiali;K803;Ganaoni;25216;3676
CI050104;K;Savanes;K8;Boundiali;K804;Kasséré;39106;5711
CI050105;K;Savanes;K8;Boundiali;K805;Siempurgo;24713;4102
CI050202;K;Savanes;K9;Kouto;K901;Blességué;21345;2364
CI050203;K;Savanes;K9;Kouto;K902;Gbon;32189;2819
CI050204;K;Savanes;K9;Kouto;K903;Kolia;32113;3097
CI050201;K;Savanes;K9;Kouto;K904;Kouto;55893;5958
CI050205;K;Savanes;K9;Kouto;K905;Sianhala;34048;2694
CI050302;K;Savanes;KA;Tengrela;KA01;Débété;5229;699
CI050303;K;Savanes;KA;Tengrela;KA02;Kanakono;30630;4821
CI050304;K;Savanes;KA;Tengrela;KA03;Papara;13448;3443
CI050301;K;Savanes;KA;Tengrela;KA04;Tengrela;92454;13496
CI110101;L;Vallée du Bandama;L1;Béoumi;L101;Ando-Kékrénou;16826;2618
CI110102;L;Vallée du Bandama;L1;Béoumi;L102;Béoumi;85600;15381
CI110103;L;Vallée du Bandama;L1;Béoumi;L103;Bodokro;37048;5223
CI110104;L;Vallée du Bandama;L1;Béoumi;L104;Kondrobo;18052;2534
CI110105;L;Vallée du Bandama;L1;Béoumi;L105;Lolobo;11586;1592
CI110106;L;Vallée du Bandama;L1;Béoumi;L106;Marabadiassa;10664;1870
CI110107;L;Vallée du Bandama;L1;Béoumi;L107;N'Guéssankro;15239;2198
CI110201;L;Vallée du Bandama;L2;Botro;L201;Botro;36461;5547
CI110202;L;Vallée du Bandama;L2;Botro;L202;Diabo;35761;5539
CI110203;L;Vallée du Bandama;L2;Botro;L203;Krofoinsou;13402;1999
CI110204;L;Vallée du Bandama;L2;Botro;L204;Languibonou;32300;5224
CI110301;L;Vallée du Bandama;L3;Bouaké;L301;Bouaké;832371;152187
CI110302;L;Vallée du Bandama;L3;Bouaké;L302;Bounda;15710;1975
CI110303;L;Vallée du Bandama;L3;Bouaké;L303;Brobo;22780;4123
CI110304;L;Vallée du Bandama;L3;Bouaké;L304;Djébonoua;40481;6242
CI110305;L;Vallée du Bandama;L3;Bouaké;L305;Mamini;20509;2953
CI110402;L;Vallée du Bandama;L4;Sakassou;L401;Ayaou-Sran;16278;3431
CI110403;L;Vallée du Bandama;L4;Sakassou;L402;Dibri-Assirikro;18405;3043
CI110401;L;Vallée du Bandama;L4;Sakassou;L403;Sakassou;69386;13362
CI110404;L;Vallée du Bandama;L4;Sakassou;L404;Toumodi-Sakassou;4041;981
CI170101;L;Vallée du Bandama;L5;Dabakala;L501;Bassawa;21487;4376
CI170102;L;Vallée du Bandama;L5;Dabakala;L502;Bonieredougou;27696;6095
CI170103;L;Vallée du Bandama;L5;Dabakala;L503;Dabakala;78634;14894
CI170104;L;Vallée du Bandama;L5;Dabakala;L504;Foumbolo;29022;7200
CI170105;L;Vallée du Bandama;L5;Dabakala;L505;Niéméné;16684;3582
CI170106;L;Vallée du Bandama;L5;Dabakala;L506;Satama-Sokoro;26163;6048
CI170107;L;Vallée du Bandama;L5;Dabakala;L507;Satama-Sokoura;13067;3004
CI170108;L;Vallée du Bandama;L5;Dabakala;L508;Sokala-Sobara;17824;2922
CI170109;L;Vallée du Bandama;L5;Dabakala;L509;Tendéné-Bambarasso;15238;2648
CI170110;L;Vallée du Bandama;L5;Dabakala;L510;Yaossédougou;8616;1535
CI170202;L;Vallée du Bandama;L6;Katiola;L601;Fronan;56796;9327
CI170201;L;Vallée du Bandama;L6;Katiola;L602;Katiola;90641;18052
CI170203;L;Vallée du Bandama;L6;Katiola;L603;Timbé;15035;2694
CI170302;L;Vallée du Bandama;L7;Niakaramandougou;L701;Arikokaha;13486;1807
CI170303;L;Vallée du Bandama;L7;Niakaramandougou;L702;Badikaha;27498;6261
CI170301;L;Vallée du Bandama;L7;Niakaramandougou;L703;Niakaramandougou;78301;14306
CI170304;L;Vallée du Bandama;L7;Niakaramandougou;L704;Niédiékaha;13193;2166
CI170305;L;Vallée du Bandama;L7;Niakaramandougou;L705;Tafiré;32240;5490
CI170306;L;Vallée du Bandama;L7;Niakaramandougou;L706;Tortiya;30409;5279
CI330102;M;Woroba;M1;Kani;M101;Djibrosso;22484;4710
CI330103;M;Woroba;M1;Kani;M102;Fadiadougou;34552;6362
CI330101;M;Woroba;M1;Kani;M103;Kani;55109;11327
CI330104;M;Woroba;M1;Kani;M104;Morondo;19283;3641
CI330202;M;Woroba;M2;Séguéla;M201;Bobi-Diarabana;25063;5800
CI330203;M;Woroba;M2;Séguéla;M202;Dualla;9996;2489
CI330204;M;Woroba;M2;Séguéla;M203;Kamalo;13584;2864
CI330205;M;Woroba;M2;Séguéla;M204;Massala;40647;6181
CI330201;M;Woroba;M2;Séguéla;M205;Séguéla;103980;18775
CI330206;M;Woroba;M2;Séguéla;M206;Sifié;31264;7223
CI330207;M;Woroba;M2;Séguéla;M207;Worofla;66713;11173
CI070101;M;Woroba;M3;Dianra;M301;Dianra;61527;11176
CI070102;M;Woroba;M3;Dianra;M302;Dianra-Village;57619;9752
CI070202;M;Woroba;M4;Kounahiri;M401;Kongasso;37281;5462
CI070201;M;Woroba;M4;Kounahiri;M402;Kounahiri;63830;9326
CI070302;M;Woroba;M5;Mankono;M501;Bouandougou;45494;9705
CI070301;M;Woroba;M5;Mankono;M502;Mankono;74165;11877
CI070303;M;Woroba;M5;Mankono;M503;Marandallah;42729;6243
CI070304;M;Woroba;M5;Mankono;M504;Sarhala;42450;9372
CI070305;M;Woroba;M5;Mankono;M505;Tiéningboué;67055;8640
CI040102;M;Woroba;M6;Koro;M601;Booko;22894;3429
CI040103;M;Woroba;M6;Koro;M602;Borotou;5202;781
CI040101;M;Woroba;M6;Koro;M603;Koro;33567;6780
CI040104;M;Woroba;M6;Koro;M604;Mahandougou;6337;896
CI040105;M;Woroba;M6;Koro;M605;Niokosso;8346;1281
CI040202;M;Woroba;M7;Ouaninou;M701;Gbèlo;6369;1618
CI040203;M;Woroba;M7;Ouaninou;M702;Gouékan;4592;597
CI040204;M;Woroba;M7;Ouaninou;M703;Koonan;9970;1322
CI040201;M;Woroba;M7;Ouaninou;M704;Ouaninou;27919;4773
CI040205;M;Woroba;M7;Ouaninou;M705;Saboudougou;5225;870
CI040206;M;Woroba;M7;Ouaninou;M706;Santa;11906;1635
CI040302;M;Woroba;M8;Touba;M801;Dioman;6375;1091
CI040303;M;Woroba;M8;Touba;M802;Foungbesso;24562;4433
CI040304;M;Woroba;M8;Touba;M803;Guintéguéla;34575;6261
CI040301;M;Woroba;M8;Touba;M804;Touba;55013;10451
CI140101;N;Zanzan;N1;Bondoukou;N101;Appimadoum;9920;2864
CI140106;N;Zanzan;N1;Bondoukou;N102;Pinda-Boroko;5951;1499
CI140102;N;Zanzan;N1;Bondoukou;N103;Bondo;28482;6479
CI140103;N;Zanzan;N1;Bondoukou;N104;Bondoukou;141568;36959
CI140104;N;Zanzan;N1;Bondoukou;N105;Gouméré;23870;5709
CI140105;N;Zanzan;N1;Bondoukou;N106;Laoudi-Ba;98053;23639
CI140107;N;Zanzan;N1;Bondoukou;N107;Sapli-Sépingo;12403;2786
CI140108;N;Zanzan;N1;Bondoukou;N108;Sorobango;34797;8921
CI140109;N;Zanzan;N1;Bondoukou;N109;Tabagne;26909;6990
CI140110;N;Zanzan;N1;Bondoukou;N110;Tagadi;35143;7436
CI140111;N;Zanzan;N1;Bondoukou;N111;Taoudi;27917;6292
CI140112;N;Zanzan;N1;Bondoukou;N112;Yézimala;8829;2769
CI140202;N;Zanzan;N2;Koun Fao;N201;Boahia;11834;2153
CI140203;N;Zanzan;N2;Koun Fao;N202;Kokomian;15090;2511
CI140204;N;Zanzan;N2;Koun Fao;N203;Kouassi-Datékro;30328;7054
CI140201;N;Zanzan;N2;Koun Fao;N204;Koun-Fao;49280;10047
CI140205;N;Zanzan;N2;Koun Fao;N205;Tankessé;35940;7875
CI140206;N;Zanzan;N2;Koun Fao;N206;Tienkoikro;25409;4856
CI140302;N;Zanzan;N3;Sandegue;N301;Bandakagni-Tomora;11264;2611
CI140303;N;Zanzan;N3;Sandegue;N302;Dimandougou;9190;2404
CI140301;N;Zanzan;N3;Sandegue;N303;Sandégué;26918;6638
CI140304;N;Zanzan;N3;Sandegue;N304;Yorobodi;22369;5655
CI140502;N;Zanzan;N4;Transua;N401;Assuéfry;45293;7748
CI140503;N;Zanzan;N4;Transua;N402;Kouassia-Niaguini;21522;2949
CI140501;N;Zanzan;N4;Transua;N403;Transua;46026;8213
CI140402;N;Zanzan;N5;Tanda;N501;Amanvi;10141;2977
CI140403;N;Zanzan;N5;Tanda;N502;Diamba;17045;3761
CI140401;N;Zanzan;N5;Tanda;N503;Tanda;69597;16100
CI140404;N;Zanzan;N5;Tanda;N504;Tchèdio;16740;3855
CI080101;N;Zanzan;N6;Bouna;N601;Bouko;24550;3230
CI080102;N;Zanzan;N6;Bouna;N602;Bouna;94883;17285
CI080103;N;Zanzan;N6;Bouna;N603;Ondéfidouo;33822;4855
CI080105;N;Zanzan;N6;Bouna;N604;Youndouo;24826;3494
CI080104;N;Zanzan;N6;Bouna;N60X;Parc National de Bona;;
CI080201;N;Zanzan;N7;Doropo;N701;Danoa;13502;1465
CI080202;N;Zanzan;N7;Doropo;N702;Doropo;48225;8269
CI080203;N;Zanzan;N7;Doropo;N703;Kalamon;9236;1400
CI080204;N;Zanzan;N7;Doropo;N704;Niamoué;22423;2493
CI080302;N;Zanzan;N8;Nassian;N801;Bogofa;10544;1937
CI080303;N;Zanzan;N8;Nassian;N802;Kakpin;8441;1719
CI080304;N;Zanzan;N8;Nassian;N803;Koutouba;14209;2516
CI080301;N;Zanzan;N8;Nassian;N804;Nassian;27159;6267
CI080305;N;Zanzan;N8;Nassian;N805;Sominassé;11371;2079
CI080402;N;Zanzan;N9;Téhini;N901;Gogo;23509;2328
CI080401;N;Zanzan;N9;Téhini;N902;Téhini;29755;3483
CI080403;N;Zanzan;N9;Téhini;N903;Tougbo;30582;3772
