"dis_code";"dis_nom";"dep_code";"dep_nom";"dis_cap";"pop";"men";"sup";"km_abidj";"km_yamou";"km_capdis";"men_ecl_elec";"men_ecl_group";"men_ecl_lampe";"men_ecl_bois";"men_ecl_torche";"men_ecl_autre"
"L";"Vallée du Bandama";"L5";"Dabakala";0;254431;52304;9869,77727094314;335,521388183364;198,035804760403;83,726551087421;31137;348;828;142;11006;76
"L";"Vallée du Bandama";"L6";"Katiola";0;162472;30073;2825,26325268417;336,92940459502;158,951574888489;46,6893503802735;23989;180;819;189;3890;5
"L";"Vallée du Bandama";"L7";"Niakaramandougou";0;195127;35309;6669,00293482646;419,806468502208;238,236001440796;129,368992214507;20113;479;363;92;6185;424
"M";"Woroba";"M1";"Kani";0;131428;26040;4961,47266324309;486,158999027341;273,134048596545;95,1898602793917;14376;163;342;104;4490;13
"M";"Woroba";"M2";"Séguéla";1;291247;54505;6516,22841292565;423,708421100048;210,810822631295;30,905419131629;30923;392;413;70;9159;39
"M";"Woroba";"M3";"Dianra";0;119146;121518;3070,15116158545;465,35746205562;255,987268254842;109,549949569329;9887;106;88;375;2197;1
"M";"Woroba";"M4";"Kounahiri";0;101111;14788;1350,77153873243;347,17993095655;135,138303189156;81,9839609409272;4917;165;116;58;4304;31
"M";"Woroba";"M5";"Mankono";0;271893;45837;6526,21989262189;389,053867884231;182,583794668964;96,6816913868207;21426;663;499;54;4576;33
"M";"Woroba";"M6";"Koro";0;76346;13167;3042,40849586409;551,084230947051;338,213873015161;140,715258321667;7412;116;426;40;3141;5
"M";"Woroba";"M7";"Ouaninou";0;65981;10815;2269,25018043254;541,602445571177;334,411842435352;145,238955099033;3873;193;258;149;4704;3
"M";"Woroba";"M8";"Touba";0;120525;22236;3385,1320704927;496,318968012939;287,011632732105;95,6277330887361;11928;111;173;55;6025;164
"N";"Zanzan";"N1";"Bondoukou";1;453842;112343;6956,06249060353;335,089037955397;301,965920122065;31,6727506256685;81627;677;978;399;19599;144
"N";"Zanzan";"N2";"Koun Fao";0;167881;34496;3613,18800923911;248,7595536311;235,304048257603;94,2956098752631;25445;208;358;51;5796;97
"N";"Zanzan";"N3";"Sandegue";0;69741;17308;2789,30871483175;305,404664955669;230,711590893688;95,2605377625345;10591;122;248;69;4352;52
"N";"Zanzan";"N4";"Transua";0;112841;18910;1138,14331077789;269,871529438891;267,030510295523;62,1066572978413;13705;48;286;37;3621;20
"N";"Zanzan";"N5";"Tanda";0;113523;26693;1675,97795430849;294,219695762373;260,259402174795;51,4819383522786;20086;124;190;27;5114;34
"N";"Zanzan";"N6";"Bouna";0;178081;28864;14469,6395308609;436,633883049862;360,351079909343;126,615297642044;10882;360;185;176;11034;88
"N";"Zanzan";"N7";"Doropo";0;93386;13627;2011,28512352537;490,685818621149;396,288200321478;184,991536631606;4849;161;85;42;4753;8
"N";"Zanzan";"N8";"Nassian";0;71724;14518;2822,71364268325;359,347859579661;279,349687383597;92,6587355502794;6631;186;231;125;4909;36
"N";"Zanzan";"N9";"Téhini";0;83846;9583;2866,18044103871;492,3124491804;372,315091322541;216,223924220551;1089;124;60;120;3622;8
