"gdlcode";"continent";"iso_code";"sup";"lon";"lat";"country";"year";"region";"idh";"idh_vie";"idh_rev";"idh_edu";"edu_esp";"edu_moy";"esp_vie";"pib_hab";"pop"
"AGOr201";"Africa";"AGO";8065;12,474374374618;-5,05005402519606;"Angola";2002;" Cabinda";0,446;0,387;0,674;0,34;6,5;4,7;45,1;8650;217
"AGOr202";"Africa";"AGO";35856;13,5848161876111;-6,61213879120236;"Angola";2002;" Zaire";0,379;0,511;0,458;0,233;5,6;2,3;53,2;2070;291
"AGOr203";"Africa";"AGO";61854;15,4829288290976;-7,01170739907975;"Angola";2002;" Uige";0,39;0,424;0,536;0,261;5,7;3,1;47,5;3480;1271
"AGOr204";"Africa";"AGO";2235;13,311502602874;-8,97738675407226;"Angola";2002;" Luanda";0,507;0,467;0,75;0,372;6,4;5,8;50,3;14320;4369
"AGOr205";"Africa";"AGO";23939;14,9265293590761;-8,90285506102321;"Angola";2002;" Kuanza Norte";0,341;0,372;0,495;0,216;5,5;1,9;44,2;2650;418
"AGOr206";"Africa";"AGO";55613;15,0331567140399;-10,8280721002993;"Angola";2002;" Kuanza Sul";0,309;0,369;0,465;0,173;4;1,9;44;2170;675
"AGOr207";"Africa";"AGO";84090;16,9664454002467;-9,49919937645951;"Angola";2002;" Malange";0,367;0,499;0,494;0,2;5,6;1,3;52,4;2630;749
"AGOr208";"Africa";"AGO";108549;19,5170276842882;-8,62615850313544;"Angola";2002;" Lunda Norte";0,327;0,512;0,464;0,148;4,4;0,7;53,3;2160;455
"AGOr209";"Africa";"AGO";40369;14,0087631399985;-12,934441500646;"Angola";2002;" Benguela";0,413;0,372;0,629;0,301;5,6;4,3;44,2;6430;2067
"AGOr210";"Africa";"AGO";33132;15,7593114120012;-12,5640635895713;"Angola";2002;" Huambo";0,357;0,376;0,551;0,22;5,4;2,1;44,4;3830;1924
"AGOr211";"Africa";"AGO";72662;17,3669132388111;-12,3291177760716;"Angola";2002;" Bie";0,335;0,487;0,44;0,176;5;1,1;51,7;1850;1005
"AGOr212";"Africa";"AGO";199510;21,0418026499472;-12,8688388288083;"Angola";2002;" Moxico";0,346;0,454;0,478;0,191;4,7;1,8;49,5;2370;438
"AGOr213";"Africa";"AGO";201332;19,517706021559;-16,1204870161018;"Angola";2002;" Kuando Kubango";0,295;0,383;0,429;0,157;4,6;0,8;44,9;1710;96
"AGOr214";"Africa";"AGO";58332;12,7289098987743;-15,5129618189968;"Angola";2002;" Namibe";0,431;0,462;0,607;0,286;6,2;3,4;50;5550;403
"AGOr215";"Africa";"AGO";79743;14,9543784154759;-14,7605977409486;"Angola";2002;" Huila";0,391;0,396;0,583;0,259;5,4;3,3;45,7;4760;1707
"AGOr216";"Africa";"AGO";76411;15,5713342926254;-16,5217223228201;"Angola";2002;" Cunene";0,346;0,359;0,505;0,23;5,2;2,5;43,3;2820;401
