"continent";"iso_code";"sup";"lon";"lat";"country";"year";"idh";"idh_vie";"idh_rev";"idh_edu";"edu_esp";"edu_moy";"esp_vie";"pib_hab";"pop"
"Africa";"AGO";1254253;17,5444575812393;-12,2737752119518;"Angola";2002;0,406;0,421;0,58;0,275;5,7;3,5;47,4;4660;17516
"Africa";"BDI";26336;29,8965823937817;-3,3573818441393;"Burundi";2002;0,314;0,46;0,32;0,211;5,1;2,1;49,9;830;6649
"Africa";"BEN";115844;2,34227587803931;9,65146048995027;"Benin";2002;0,431;0,563;0,487;0,293;7,6;2,5;56,6;2510;7432
"Africa";"BFA";275205;-1,76710918816282;12,2894355380738;"Burkina Faso";2002;0,302;0,481;0,389;0,147;3,6;1,4;51,3;1320;12632
"Africa";"BWA";580188;23,820825116191;-22,1827777140613;"Botswana";2002;0,579;0,471;0,706;0,583;11,5;7,9;50,6;10680;1795
"Africa";"CAF";625251;20,4775872926159;6,57552901274107;"Central African Republic CAR";2002;0,322;0,391;0,368;0,233;5,1;2,7;45,4;1140;3931
"Africa";"CIV";321314;-5,53595956505429;7,61790090124981;"Cote d'Ivoire";2002;0,451;0,475;0,493;0,392;6,7;6,1;50,9;2610;17684
"Africa";"CMR";469039;12,7404347283959;5,69091749266561;"Cameroon";2002;0,445;0,514;0,508;0,338;8,4;3,1;53,4;2880;15914
"Africa";"COD";2337162;23,660316203401;-2,85869282775739;"Congo Democratic Republic";2002;0,376;0,497;0,288;0,372;7,1;5,3;52,3;670;51662
"Africa";"COG";342320;15,2513712336604;-0,841901128953367;"Congo Brazzaville";2002;0,518;0,54;0,527;0,49;8,8;7,4;55,1;3270;3331
"Africa";"COM";1137;43,7502767922734;-11,9426704009572;"Comoros";2002;0,472;0,601;0,507;0,344;8,7;3;59,1;2870;559
"Africa";"CPV";1560;-24,3045620560846;15,8593292395727;"Cape Verde";2002;0,606;0,78;0,583;0,49;11,2;5,4;70,7;4760;473
"Africa";"DJI";20978;42,5583091677913;11,7150453874512;"Djibouti";2002;0,346;0,573;0,433;0,167;3,6;2;57,2;1760;789
"Africa";"DZA";2314050;2,69355179768113;28,053806784081;"Algeria";2002;0,668;0,788;0,68;0,556;11,9;6,8;71,2;9030;31625
"Africa";"EGY";986147;29,7900132661395;26,5383230295647;"Egypt";2002;0,634;0,747;0,662;0,515;10,9;6,4;68,6;8010;74394
"Africa";"ERI";121513;38,8967696462671;15,3372637595588;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Africa";"ETH";1134309;39,640013724358;8,61346227856985;"Ethiopia";2002;0,305;0,485;0,303;0,194;5;1,6;51,5;740;71073
"Africa";"GAB";265513;11,7936163058518;-0,62890758108991;"Gabon";2002;0,635;0,635;0,75;0,537;11,6;6,5;61,3;14320;1342
"Africa";"GHA";240480;-1,21383009393897;7,96211268087561;"Ghana";2002;0,506;0,594;0,504;0,433;7,2;7;58,6;2810;20758
"Africa";"GIN";246120;-10,9111696726351;10,42025567256;"Guinea";2002;0,363;0,512;0,436;0,214;5,9;1,5;53,3;1790;8578
"Africa";"GMB";9733;-15,495334867547;13,4376990858991;"Gambia";2002;0,402;0,57;0,448;0,253;6,2;2,4;57,1;1950;1522
"Africa";"GNB";32283;-14,9037628577838;12,0449319464252;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Africa";"GNQ";27027;10,3495045781884;1,68834498851272;"Equatorial Guinea";2002;0,539;0,524;0,738;0,405;6,7;6,6;54,1;13280;754
