"continent";"iso_code";"sup";"lon";"lat";"country";"year";"idh";"idh_vie";"idh_rev";"idh_edu";"edu_esp";"edu_moy";"esp_vie";"pib_hab";"pop"
"Africa";"KEN";587744;37,845268222099;0,544906119877538;"Kenya";2002;0,49;0,538;0,524;0,417;8,2;5,7;55;3220;32780
"Africa";"LBR";96309;-9,30154845673925;6,45155688960437;"Liberia";2002;0,446;0,52;0,418;0,408;10,3;3,7;53,8;1590;3061
"Africa";"LBY";1619655;18,0846955850516;27,0305333193403;"Libya";2002;0,75;0,785;0,832;0,646;16,1;5,9;71;24720;5405
"Africa";"LSO";29409;28,2580592614439;-29,5793666971477;"Lesotho";2002;0,449;0,394;0,499;0,46;10,1;5,4;45,6;2720;1998
"Africa";"MAR";682852;-9,1423253338715;29,0628725687027;"Morocco";2002;0,547;0,731;0,594;0,376;9,4;3,5;67,5;5110;29302
"Africa";"MDG";592985;46,716164528499;-19,3417964535719;"Madagascar";2002;0,442;0,598;0,393;0,366;8,2;4,2;58,9;1350;17212
"Africa";"MLI";1253213;-3,57353709399971;17,3261485156998;"Mali";2002;0,336;0,496;0,425;0,18;5;1,3;52,2;1670;11953
"Africa";"MOZ";790844;35,6157014180132;-17,1988553361297;"Mozambique";2002;0,325;0,471;0,285;0,257;7;1,9;50,6;660;18695
"Africa";"MRT";1044155;-10,3581721828237;20,2262827501367;"Mauritania";2002;0,465;0,635;0,562;0,282;6,4;3,2;61,3;4120;2822
"Africa";"MUS";1178;57,833779120328;-20,1607725970256;"Mauritius";2002;0,696;0,8;0,732;0,576;12,7;6,7;72;12700;1205
"Africa";"MWI";117630;34,2828346600214;-13,2416696186735;"Malawi";2002;0,394;0,419;0,348;0,42;11,1;3,3;47,2;1000;11784
"Africa";"NAM";826156;17,2172826146554;-22,0796336309263;"Namibia";2002;0,544;0,481;0,641;0,523;11,8;5,9;51,3;6950;1889
"Africa";"NER";1186165;9,34701641063798;17,4170883349948;"Niger";2002;0,271;0,47;0,349;0,122;2,9;1,2;50,6;1000;12457
"Africa";"NGA";906469;8,09114033459286;9,61867891355803;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Africa";"RWA";24833;29,9270284816468;-1,99057429026376;"Rwanda";2002;0,367;0,477;0,348;0,297;7,5;2,7;51;1000;8372
"Africa";"SDN";1880175;29,9733973981068;16,0291611333855;"Sudan";2002;0,434;0,6;0,561;0,243;5,6;2,6;59;4110;27570
"Africa";"SEN";198945;-14,4607512918684;14,3592648156142;"Senegal";2002;0,399;0,588;0,491;0,221;6;1,6;58,2;2570;10181
"Africa";"SLE";71437;-11,7691393205187;8,54303476076321;"Sierra Leone";2002;0,346;0,406;0,361;0,282;6,6;3;46,4;1090;5140
"Africa";"SOM";635281;45,8467320618944;6,0448501687124;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Africa";"SSD";628755;30,3336011198808;7,29696841218381;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Africa";"STP";520;6,70756497658304;0,450600365299652;"Sao Tome & Principe";2002;0,508;0,655;0,483;0,415;9,2;4,8;62,6;2450;150
"Africa";"SWZ";15920;31,524160198978;-26,570322194995;"Eswatini";2002;0,444;0,377;0,61;0,38;9,4;3,6;44,5;5660;1051
"Africa";"TCD";1274374;18,6581593521786;15,3104334862935;"Chad";2002;0,309;0,43;0,346;0,198;5,5;1,4;47,9;990;8838
"Africa";"TGO";57243;0,981263373149609;8,53368506035608;"Togo";2002;0,443;0,543;0,423;0,38;9,9;3,2;55,3;1640;5282
"Africa";"TUN";153968;9,59532419283546;34,068561262626;"Tunisia";2002;0,663;0,832;0,655;0,535;12,9;5,3;74,1;7650;10095
"Africa";"TZA";893668;34,9694851008064;-6,43756445811502;"Tanzania";2002;0,414;0,521;0,406;0,335;6,9;4,3;53,9;1470;36354
"Africa";"UGA";210464;32,3380126475918;1,53548585129262;"Uganda";2002;0,414;0,456;0,388;0,401;9,5;4,1;49,6;1310;25545
"Africa";"ZAF";1222012;25,1959288018805;-28,9812879182551;"South Africa";2002;0,633;0,549;0,708;0,654;13,3;8,5;55,7;10860;47662
"Africa";"ZMB";755650;27,8255777437931;-13,4531131983767;"Zambia";2002;0,434;0,415;0,457;0,429;8,8;5,6;47;2070;10508
"Africa";"ZWE";390231;29,8735566917531;-18,9932270948681;"Zimbabwe";2002;0,427;0,378;0,395;0,521;10,5;6,9;44,6;1370;11985
