"gdlcode";"continent";"iso_code";"sup";"lon";"lat";"country";"year";"region";"idh";"idh_vie";"idh_rev";"idh_edu";"edu_esp";"edu_moy";"esp_vie";"pib_hab";"pop"
"AGOr201";"Africa";"AGO";8065;12,474374374618;-5,05005402519606;"Angola";2012;" Cabinda";0,603;0,577;0,74;0,514;12,1;5,4;57,5;13400;369
"AGOr202";"Africa";"AGO";35856;13,5848161876111;-6,61213879120236;"Angola";2012;" Zaire";0,527;0,693;0,544;0,388;10,3;3;65;3670;439
"AGOr203";"Africa";"AGO";61854;15,4829288290976;-7,01170739907975;"Angola";2012;" Uige";0,523;0,6;0,591;0,404;10,5;3,3;59;4990;1728
"AGOr204";"Africa";"AGO";2235;13,311502602874;-8,97738675407226;"Angola";2012;" Luanda";0,662;0,653;0,819;0,542;11,9;6,3;62,4;22560;6774
"AGOr205";"Africa";"AGO";23939;14,9265293590761;-8,90285506102321;"Angola";2012;" Kuanza Norte";0,479;0,543;0,564;0,358;10,2;2,2;55,3;4190;544
"AGOr206";"Africa";"AGO";55613;15,0331567140399;-10,8280721002993;"Angola";2012;" Kuanza Sul";0,423;0,524;0,53;0,274;7,4;2,1;54;3340;1181
"AGOr207";"Africa";"AGO";84090;16,9664454002467;-9,49919937645951;"Angola";2012;" Malange";0,511;0,68;0,567;0,346;10,3;1,8;64,2;4270;1063
"AGOr208";"Africa";"AGO";108549;19,5170276842882;-8,62615850313544;"Angola";2012;" Lunda Norte";0,462;0,691;0,536;0,267;8,2;1,2;64,9;3460;664
"AGOr209";"Africa";"AGO";40369;14,0087631399985;-12,934441500646;"Angola";2012;" Benguela";0,54;0,524;0,682;0,44;10,4;4,6;54,1;9120;2770
"AGOr210";"Africa";"AGO";33132;15,7593114120012;-12,5640635895713;"Angola";2012;" Huambo";0,492;0,543;0,611;0,358;9,9;2,5;55,3;5720;2538
"AGOr211";"Africa";"AGO";72662;17,3669132388111;-12,3291177760716;"Angola";2012;" Bie";0,466;0,659;0,508;0,303;9,2;1,4;62,8;2880;1393
"AGOr212";"Africa";"AGO";199510;21,0418026499472;-12,8688388288083;"Angola";2012;" Moxico";0,473;0,624;0,543;0,313;8,8;2,1;60,6;3640;618
"AGOr213";"Africa";"AGO";201332;19,517706021559;-16,1204870161018;"Angola";2012;" Kuando Kubango";0,428;0,56;0,504;0,277;8,6;1,2;56,4;2810;208
"AGOr214";"Africa";"AGO";58332;12,7289098987743;-15,5129618189968;"Angola";2012;" Namibe";0,571;0,629;0,667;0,444;11,4;3,8;60,9;8250;520
"AGOr215";"Africa";"AGO";79743;14,9543784154759;-14,7605977409486;"Angola";2012;" Huila";0,518;0,555;0,636;0,393;9,9;3,5;56,1;6730;2404
"AGOr216";"Africa";"AGO";76411;15,5713342926254;-16,5217223228201;"Angola";2012;" Cunene";0,477;0,536;0,564;0,359;9,7;2,7;54,9;4190;667
"AGOr217";"Africa";"AGO";78148;20,6656811572979;-10,1822289937068;"Angola";2012;" Lunda Sul";0,486;0,653;0,517;0,341;11;1,1;62,4;3070;612
"AGOr218";"Africa";"AGO";34411;13,8859145839908;-8,95129295534858;"Angola";2012;" Bengo";0,491;0,577;0,596;0,345;9,2;2,7;57,5;5160;697
"BDIr101";"Africa";"BDI";6838;30,0614560767691;-2,77503147150368;"Burundi";2012;"North (Kayanza, Kirundo, Muyinga, Ngozi)";0,376;0,548;0,298;0,324;9,7;1,6;55,6;720;2852
"BDIr102";"Africa";"BDI";5702;29,6060893477705;-4,02291567724373;"Burundi";2012;"South (Bururi, Makamba)";0,446;0,655;0,322;0,421;12,7;2,1;62,6;840;1437
"BDIr103";"Africa";"BDI";6105;30,2956192232168;-3,50777695863957;"Burundi";2012;"East (Cankuzo, Rutana, Ruyigi )";0,397;0,608;0,307;0,336;9,9;1,9;59,5;760;1186
