"gdlcode";"continent";"iso_code";"sup";"lon";"lat";"country";"year";"region";"idh";"idh_vie";"idh_rev";"idh_edu";"edu_esp";"edu_moy";"esp_vie";"pib_hab";"pop"
"BDIr104";"Africa";"BDI";3554;29,3581445807744;-3,17257818431959;"Burundi";2012;"West (Bubanza, Buja Rural, Cibitoke, Mairie de Bujumbura)";0,447;0,603;0,349;0,425;11,4;3,3;59,2;1000;2353
"BDIr105";"Africa";"BDI";4138;29,8978269892514;-3,33905657659148;"Burundi";2012;"Middle (Gitega, Karuzi, Muramvya, Mwaro)";0,41;0,604;0,31;0,37;11,1;1,8;59,3;780;1967
"BENr101";"Africa";"BEN";31434;1,65064989805272;10,2244767490489;"Benin";2012;"Atacora (incl Donga)";0,434;0,598;0,454;0,301;9,4;1,2;58,8;2020;1437
"BENr102";"Africa";"BEN";3102;2,23525231214801;6,61821066713491;"Benin";2012;"Atlantique (incl Littoral (Cotonou))";0,569;0,606;0,567;0,537;13,5;4,9;59,4;4270;2296
"BENr103";"Africa";"BEN";53145;2,83733697974324;10,5745683457902;"Benin";2012;"Borgou (incl Alibori)";0,418;0,588;0,466;0,267;8;1,3;58,2;2180;1653
"BENr104";"Africa";"BEN";4168;1,81498355437521;6,80595056947187;"Benin";2012;"Mono (incl Couffo)";0,487;0,589;0,452;0,433;13,3;1,9;58,3;1990;1228
"BENr105";"Africa";"BEN";4456;2,60824847277272;7,00673857441535;"Benin";2012;"Queme (incl Plateau)";0,511;0,625;0,498;0,427;12,4;2,5;60,6;2710;1798
"BENr106";"Africa";"BEN";19539;2,18048920330466;7,90787312291008;"Benin";2012;"Zou (incl Collines)";0,474;0,562;0,464;0,41;12,4;2;56,5;2160;1602
"BFAr101";"Africa";"BFA";35803;-3,5213014483214;12,5526390348975;"Burkina Faso";2012;"Boucle de Mouhoun";0,364;0,593;0,401;0,203;6,4;0,7;58,6;1430;1916
"BFAr102";"Africa";"BFA";18350;-4,56519357366374;10,3467449908891;"Burkina Faso";2012;"Cascades";0,402;0,556;0,451;0,259;7,9;1,2;56,2;1980;678
"BFAr103";"Africa";"BFA";2616;-1,52319097927571;12,3471226234895;"Burkina Faso";2012;"Centre (incl Ouagadougou)";0,543;0,653;0,54;0,455;12,1;3,6;62,4;3570;2056
"BFAr104";"Africa";"BFA";14569;-0,189667926352958;11,6433946479546;"Burkina Faso";2012;"Centre-Est";0,38;0,673;0,423;0,193;6,3;0,6;63,7;1650;1315
"BFAr105";"Africa";"BFA";19379;-0,963903647321775;13,2589297924121;"Burkina Faso";2012;"Centre-Nord";0,354;0,618;0,41;0,176;5,7;0,5;60,2;1510;1322
"BFAr106";"Africa";"BFA";23533;-2,20355014560326;11,8161152557427;"Burkina Faso";2012;"Centre-Ouest";0,395;0,585;0,416;0,253;8;1;58;1570;1312
"BFAr107";"Africa";"BFA";11113;-1,14788947609923;11,5697648008105;"Burkina Faso";2012;"Centre-Sud";0,396;0,604;0,412;0,249;8,2;0,7;59,2;1530;837
"BFAr108";"Africa";"BFA";46679;0,911226210941738;12,2281063149236;"Burkina Faso";2012;"Est";0,317;0,542;0,384;0,152;4,9;0,5;55,2;1270;1625
"BFAr109";"Africa";"BFA";26141;-4,34312875448503;11,3579497748772;"Burkina Faso";2012;"Hauts Bassins";0,43;0,586;0,463;0,292;8,5;1,7;58,1;2150;1865
"BFAr110";"Africa";"BFA";16899;-2,26583883257219;13,451079172196;"Burkina Faso";2012;"Nord";0,38;0,573;0,419;0,229;7,5;0,7;57,2;1600;1272
"BFAr111";"Africa";"BFA";7351;-1,10069470252208;12,4274817042343;"Burkina Faso";2012;"Plateau Central";0,384;0,591;0,424;0,226;7,4;0,6;58,4;1660;829
"BFAr112";"Africa";"BFA";37073;-0,456590619584086;14,1474212319667;"Burkina Faso";2012;"Sahel";0,256;0,514;0,358;0,091;2,8;0,3;53,4;1070;1356
"BFAr113";"Africa";"BFA";15699;-3,25799805336118;10,4959628539893;"Burkina Faso";2012;"Sud-Ouest";0,324;0,536;0,386;0,165;5,1;0,7;54,8;1290;729
"BWAr101";"Africa";"BWA";147673;26,2681522185146;-21,5223996915422;"Botswana";2012;"Central";0,641;0,624;0,714;0,59;11,1;8,4;60,6;11280;684
"BWAr102";"Africa";"BWA";114900;22,5986959422437;-22,2976724729521;"Botswana";2012;"Ghanzi";0,609;0,621;0,695;0,523;9,2;8;60,4;9940;46
"BWAr103";"Africa";"BWA";106215;21,7435016619939;-24,8658033026744;"Botswana";2012;"Kgalagadi";0,626;0,618;0,703;0,565;10,3;8,4;60,2;10530;54
"BWAr104";"Africa";"BWA";7895;26,3658963525209;-24,1590373264148;"Botswana";2012;"Kgatleng";0,678;0,646;0,752;0,643;12,1;9,2;62;14520;101
"BWAr105";"Africa";"BWA";37272;24,701607754366;-23,8689275611697;"Botswana";2012;"Kweneng";0,655;0,642;0,724;0,606;11,6;8,5;61,7;12030;331
"BWAr106";"Africa";"BWA";5082;27,5499646697967;-20,9962211728669;"Botswana";2012;"North-East";0,689;0,635;0,77;0,669;11,7;10,3;61,3;16410;171
"BWAr107";"Africa";"BWA";111146;22,762618707497;-19,6108252379134;"Botswana";2012;"North-West, Ngamiland";0,62;0,607;0,679;0,58;10,5;8,7;59,4;8970;163
"BWAr108";"Africa";"BWA";1865;25,8454686127233;-24,8609585084417;"Botswana";2012;"South-East";0,737;0,629;0,811;0,785;13,3;12,5;60,9;21500;368
"BWAr109";"Africa";"BWA";27822;24,4688178226502;-24,9282521488823;"Botswana";2012;"Southern";0,641;0,628;0,714;0,589;11,3;8,3;60,8;11270;234
"BWAr110";"Africa";"BWA";20317;24,8046173993789;-18,5315579142397;"Botswana";2012;"Chobe";0,647;0,595;0,738;0,617;10,3;9,9;58,7;13270;24
"CAFr101";"Africa";"CAF";85409;18,4586187288422;5,50165402317756;"Central African Republic CAR";2012;"RS I (Ombella Mpoko, Lobaye, Kemo, Nana Grebizi, Ouaka)";0,369;0,463;0,371;0,293;6,2;3,6;50,1;1170;1216
"CAFr102";"Africa";"CAF";75948;15,8131858628205;4,7110315628184;"Central African Republic CAR";2012;"RS II (Mambera Kadei, Nana Mambere, Sangha Mbaere)";0,339;0,469;0,366;0,227;5;2,6;50,5;1130;819
"CAFr103";"Africa";"CAF";86536;17,2295855486731;6,85440963409152;"Central African Republic CAR";2012;"RS III (Ouham Pende, Ouham)";0,332;0,456;0,354;0,227;5,5;2,2;49,6;1040;1018
"CAFr104";"Africa";"CAF";242552;21,8179212211532;7,86513098585112;"Central African Republic CAR";2012;"RS IV (Haute-Kotto, Baminigui Bangoran, Vakaga)";0,351;0,497;0,356;0,244;5,3;2,9;52,3;1050;325
"CAFr105";"Africa";"CAF";134754;24,0713679462002;5,77042525203333;"Central African Republic CAR";2012;"RS V (Basse Kotto, Mbornou, Houte Mbormou)";0,317;0,439;0,339;0,214;5;2,3;48,5;940;541
"CAFr106";"Africa";"CAF";52;18,6022345898038;4,36932307234241;"Central African Republic CAR";2012;"Bangui";0,5;0,561;0,49;0,456;8,7;6,4;56,5;2560;853
"CIVr101";"Africa";"CIV";2257;-4,05344026454906;5,4159158291866;"Cote d'Ivoire";2012;"Abidjan";0,557;0,609;0,58;0,489;7,2;8,7;59,6;4650;4677
"CIVr102";"Africa";"CIV";1262;-5,29102794197064;6,79808418604055;"Cote d'Ivoire";2012;"Yamoussoukro";0,6;0,668;0,578;0,558;11,5;7,2;63,4;4590;191
"CIVr103";"Africa";"CIV";28230;-6,66869583555124;5,3645901997547;"Cote d'Ivoire";2012;"Bas Sassandra";0,455;0,577;0,467;0,349;8;3,8;57,5;2200;907
"CIVr104";"Africa";"CIV";14783;-3,3062599701413;6,05706290203258;"Cote d'Ivoire";2012;"Comoe";0,484;0,598;0,499;0,38;8,5;4,3;58,9;2720;1283
"CIVr105";"Africa";"CIV";21212;-7,37495906762145;9,66096006957621;"Cote d'Ivoire";2012;"Denguele";0,384;0,474;0,506;0,236;6;2,1;50,8;2850;653
"CIVr106";"Africa";"CIV";16404;-5,61187059203676;5,9836514303413;"Cote d'Ivoire";2012;"Goh-Djiboua";0,48;0,574;0,47;0,411;9,3;4,6;57,3;2240;1176
"CIVr107";"Africa";"CIV";27252;-4,44098482687861;7,07226947173744;"Cote d'Ivoire";2012;"Lacs";0,464;0,567;0,468;0,377;9,2;3,6;56,8;2220;1883
"CIVr108";"Africa";"CIV";19671;-4,32392473960859;5,84479364978326;"Cote d'Ivoire";2012;"Lagunes";0,501;0,581;0,486;0,446;9,8;5,2;57,8;2490;1755
"CIVr109";"Africa";"CIV";29734;-7,64504912052417;6,92681224643414;"Cote d'Ivoire";2012;"Montagnes";0,428;0,513;0,437;0,349;8,5;3,4;53,3;1810;2340
"CIVr110";"Africa";"CIV";24006;-6,33121448969502;7,07645692813713;"Cote d'Ivoire";2012;"Sassandra-Marahoue";0,449;0,562;0,458;0,352;8,4;3,5;56,5;2080;2768
"CIVr111";"Africa";"CIV";39189;-5,54880539945517;9,56141217480057;"Cote d'Ivoire";2012;"Savanes";0,426;0,556;0,469;0,297;7,4;2,8;56,1;2230;1076
"CIVr112";"Africa";"CIV";26631;-4,92449386563045;8,27264705268036;"Cote d'Ivoire";2012;"Vallee du Bandama";0,49;0,564;0,499;0,418;10;4,3;56,7;2720;891
"CIVr113";"Africa";"CIV";31687;-6,71867999073598;8,36370935758779;"Cote d'Ivoire";2012;"Woroba";0,331;0,484;0,43;0,174;4,5;1,4;51,5;1720;984
"CIVr114";"Africa";"CIV";38997;-3,34524308461416;8,68186048223421;"Cote d'Ivoire";2012;"Zanzan";0,406;0,558;0,451;0,265;6,6;2,5;56,3;1980;1430
"CMRr101";"Africa";"CMR";64403;13,1196183034945;6,85786009159105;"Cameroon";2012;"Adamaoua";0,481;0,578;0,507;0,379;9,7;3,3;57,6;2860;1002
"CMRr102";"Africa";"CMR";69053;11,8328034334307;4,67212889246272;"Cameroon";2012;"Centre (incl Yaounde)";0,624;0,632;0,598;0,644;13,3;8,2;61,1;5240;3629
"CMRr103";"Africa";"CMR";110321;14,2106207797034;3,79230890498004;"Cameroon";2012;"Est";0,521;0,621;0,476;0,478;11,1;5,1;60,4;2340;973
"CMRr104";"Africa";"CMR";35860;14,5301110879898;11,0759634754467;"Cameroon";2012;"Extreme Nord";0,396;0,531;0,44;0,266;7,7;1,6;54,5;1840;3945
"CMRr105";"Africa";"CMR";20343;10,1254389505046;4,22521357500154;"Cameroon";2012;"Littoral (incl Douala)";0,641;0,661;0,622;0,641;13,4;8,1;63;6130;2793
"CMRr106";"Africa";"CMR";65386;13,9337719240428;8,48195809648703;"Cameroon";2012;"Nord";0,419;0,503;0,446;0,328;9;2,4;52,7;1910;2534
"CMRr107";"Africa";"CMR";17544;10,3993475924581;6,34207642440242;"Cameroon";2012;"Nord Ouest";0,565;0,688;0,505;0,519;12,2;5,4;64,8;2840;1781
"CMRr108";"Africa";"CMR";13747;10,6410673012093;5,45338373341339;"Cameroon";2012;"Ouest";0,576;0,627;0,535;0,571;13,6;5,8;60,7;3450;2417
"CMRr109";"Africa";"CMR";46809;11,5909588074789;2,74245152759662;"Cameroon";2012;"Sud";0,579;0,618;0,527;0,597;12,7;7,3;60,2;3270;657
"CMRr110";"Africa";"CMR";25572;9,306647464113;5,21916624926578;"Cameroon";2012;"Sud Ouest";0,58;0,591;0,556;0,596;12,8;7,2;58,4;3960;1301
"CODr101";"Africa";"COD";9662;15,9199331992659;-4,45134630668089;"Congo Democratic Republic";2012;"Kinshasa";0,583;0,645;0,506;0,606;10,2;9,7;61,9;2860;7071
"CODr102";"Africa";"COD";54148;14,3235846776134;-5,2950805432858;"Congo Democratic Republic";2012;"Bas-Congo";0,434;0,563;0,33;0,441;9,1;5,6;56,6;890;3512
"CODr103";"Africa";"COD";298632;18,3570988511032;-4,3800933031774;"Congo Democratic Republic";2012;"Bandundu";0,434;0,599;0,287;0,475;9,8;6,1;59;670;10095
"CODr104";"Africa";"COD";398635;20,573895026365;1,05647770489443;"Congo Democratic Republic";2012;"Equateur";0,403;0,545;0,286;0,419;9,1;5;55,4;660;9084
"CODr105";"Africa";"COD";508550;26,3454839432549;2,08584484393522;"Congo Democratic Republic";2012;"Orientale";0,407;0,575;0,305;0,384;8,2;4,6;57,4;750;7359
"CODr106";"Africa";"COD";59347;28,7260253607546;-0,601768642728454;"Congo Democratic Republic";2012;"Nord-Kivu";0,427;0,648;0,323;0,373;7,9;4,6;62,1;850;6103
"CODr107";"Africa";"COD";63715;28,2914085965536;-3,209729638827;"Congo Democratic Republic";2012;"Sud-Kivu";0,398;0,541;0,31;0,377;8,4;4,3;55,2;780;5319
"CODr108";"Africa";"COD";129969;26,4444839276915;-3,08123266608557;"Congo Democratic Republic";2012;"Maniema";0,422;0,565;0,308;0,432;9,2;5,2;56,7;770;2292
"CODr109";"Africa";"COD";487626;26,4174986267217;-8,73670399674505;"Congo Democratic Republic";2012;"Katanga";0,424;0,552;0,331;0,417;8,1;5,8;55,9;900;8680
"CODr110";"Africa";"COD";172830;23,9356748762204;-4,49270651609712;"Congo Democratic Republic";2012;"Kasai Oriental";0,428;0,562;0,305;0,456;9;6,2;56,5;750;6876
"CODr111";"Africa";"COD";154048;21,6203335142853;-5,42618011988134;"Congo Democratic Republic";2012;"Kasai Occidental";0,403;0,546;0,284;0,423;8,6;5,5;55,5;660;4606
"COGr201";"Africa";"COG";13766;11,9546563723167;-4,24587345230927;"Congo Brazzaville";2012;" Kouilou";0,492;0,622;0,467;0,41;8,2;5,5;60,4;2200;117
"COGr202";"Africa";"COG";24471;12,5086736572388;-3,11076818237454;"Congo Brazzaville";2012;" Niari";0,56;0,674;0,536;0,485;9,7;6,5;63,8;3470;261
"COGr203";"Africa";"COG";21233;13,5080322520886;-3,10333846750967;"Congo Brazzaville";2012;" Lekoumou";0,502;0,615;0,472;0,438;9,7;5;60;2270;96
"COGr204";"Africa";"COG";13635;13,5777854812981;-4,10710465391769;"Congo Brazzaville";2012;" Bouenza";0,523;0,604;0,525;0,45;9,5;5,6;59,3;3240;461
"COGr205";"Africa";"COG";35376;15,0488464937786;-3,67731554878405;"Congo Brazzaville";2012;" Pool";0,507;0,65;0,462;0,433;8,7;5,7;62,2;2130;308
"COGr206";"Africa";"COG";40113;15,3834214258329;-2,0963748710894;"Congo Brazzaville";2012;" Plateaux";0,516;0,641;0,471;0,455;10,1;5,3;61,7;2250;170
"COGr207";"Africa";"COG";45133;16,0186271676554;-0,582548081631538;"Congo Brazzaville";2012;" Cuvette";0,563;0,639;0,523;0,533;10,7;7,1;61,5;3190;162
"COGr208";"Africa";"COG";24407;14,6416272260155;0,0603918066878399;"Congo Brazzaville";2012;" Cuvette Ouest";0,519;0,598;0,464;0,504;11;6;58,9;2160;76
"COGr209";"Africa";"COG";57721;15,3931359363225;1,37719308196239;"Congo Brazzaville";2012;" Sangha";0,513;0,568;0,5;0,475;9,9;6;56,9;2730;87
"COGr210";"Africa";"COG";66375;17,4526602125745;1,93291277999698;"Congo Brazzaville";2012;" Likouala";0,528;0,632;0,469;0,498;10,1;6,5;61,1;2230;202
"COGr211";"Africa";"COG";61;15,2750068212255;-4,27233028045637;"Congo Brazzaville";2012;" Brazzaville";0,644;0,659;0,652;0,623;11,2;9,3;62,8;7480;1702
"COGr212";"Africa";"COG";28;11,8743783553118;-4,79126850801876;"Congo Brazzaville";2012;" Pointe Noire";0,638;0,694;0,647;0,578;10,4;8,7;65,1;7270;1071
"COMr101";"Africa";"COM";649;43,3886484366798;-11,7117347230353;"Comoros";2012;"Grande Comore (Ngazidja)";0,555;0,625;0,535;0,511;12,4;5;60,6;3450;314
"COMr102";"Africa";"COM";139;43,727624542581;-12,3344155656306;"Comoros";2012;"Moheli";0,536;0,665;0,507;0,456;10,6;4,8;63,3;2880;45
"COMr103";"Africa";"COM";348;44,4348437013121;-12,2158941249592;"Comoros";2012;"Anjouan (Ndzouani)";0,52;0,655;0,506;0,425;10,4;4,1;62,6;2850;325
"CPVr101";"Africa";"CPV";392;-25,2055319026508;17,0230729129431;"Cape Verde";2012;"S.Antao";0,638;0,838;0,618;0,502;11,6;5,4;74,5;5990;58
"CPVr102";"Africa";"CPV";138;-24,955513967022;16,8541413729977;"Cape Verde";2012;"S.Vicente";0,681;0,838;0,659;0,572;13,2;6,1;74,5;7840;103
"CPVr103";"Africa";"CPV";644;-23,6577765384502;15,0982308204037;"Cape Verde";2012;"Santiago-Interior";0,601;0,838;0,594;0,436;10,1;4,7;74,5;5100;151
"CPVr104";"Africa";"CPV";54;-23,5338756838799;14,9508949810977;"Cape Verde";2012;"Santiago- Praia";0,692;0,838;0,652;0,607;14,1;6,5;74,5;7500;174
"CPVr105";"Africa";"CPV";176;-24,395876804162;14,9097848116421;"Cape Verde";2012;"Fogo";0,663;0,838;0,625;0,557;12,9;6;74,5;6250;47
"CPVr106";"Africa";"CPV";155;-24,323553460385;16,5775607397858;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"DJIr101";"Africa";"DJI";105;43,0791265086464;11,5764345732086;"Djibouti";2012;"Djibouti";0,451;0,612;0,552;0,271;5,8;3,3;59,8;3860;805
"DJIr102";"Africa";"DJI";20873;42,5556754023646;11,7157436060805;"Djibouti";2012;"Other Districts";0,405;0,722;0,452;0,204;5,4;1,6;66,9;1990;149
"DZAr101";"Africa";"DZA";29662;2,80912561984951;36,2635463693982;"Algeria";2012;"Nord Centre (Alger, Blida, Boumerdes, Tipaza, Bouira, Medea, Tizi-Ouzou, Bejaia, Chlef, Ain Defla)";0,74;0,852;0,713;0,668;15;7,5;75,4;11230;12533
"DZAr102";"Africa";"DZA";24923;7,1493564607117;36,5027969687839;"Algeria";2012;"Nord Est (Annaba, Constantine, Skikda, Jijel, Mila, Souk Ahras, El Tarf, Guelma)";0,744;0,851;0,71;0,681;15,1;7,8;75,3;10980;5317
"DZAr103";"Africa";"DZA";36007;-0,429836722421682;35,1604105408809;"Algeria";2012;"Nord Ouest (Oran, Tlemcen, Mostaganem, Ain Temouchent, Relizane, Sidi Bel Abbes, Mascara)";0,713;0,821;0,714;0,618;13,8;7;73,4;11290;5767
"DZAr104";"Africa";"DZA";78005;3,4741098660094;34,3297360481902;"Algeria";2012;"Hauts Plateaux Centre (Djelfa, Laghouat, MSila)";0,693;0,806;0,696;0,593;13,8;6,3;72,4;10050;2610
"DZAr105";"Africa";"DZA";55215;6,53004687475646;35,5182412287803;"Algeria";2012;"Hauts Plateaux Est (Setif, Batna, Khenchela, Bordj Bou Arreridj, Oum El Bouaghi, Tebessa)";0,727;0,843;0,714;0,638;14,5;7,1;74,8;11270;5252
"DZAr106";"Africa";"DZA";131420;0,630631919711216;33,2923904608816;"Algeria";2012;"Hauts Plateaux Ouest (Tiaret, Saida, Tissemsilt, Naama, El Bayadh)";0,706;0,827;0,704;0,604;14,3;6,2;73,7;10590;2110
"DZAr107";"Africa";"DZA";1958818;2,6958018085118;26,8734427238902;"Algeria";2012;"Sud (Bechar, Tindouf, Adrar, Ghardaia, Biskra, El Oued, Ouargla, Tamanrasset,Illizi)";0,716;0,802;0,716;0,64;14,3;7,3;72,1;11420;3672
"EGYr101";"Africa";"EGY";2744;31,5857260812798;29,9634082383429;"Egypt";2012;"Cairo";0,722;0,788;0,711;0,671;12,4;9,8;71,2;11100;8917
"EGYr102";"Africa";"EGY";2528;29,742666302817;30,7930584032843;"Egypt";2012;"Alexandria";0,724;0,785;0,714;0,676;12,7;9,7;71;11320;4484
"EGYr103";"Africa";"EGY";1472;32,2373521627277;31,1190188496038;"Egypt";2012;"Port Said";0,743;0,796;0,725;0,711;12,8;10,6;71,7;12170;488
"EGYr104";"Africa";"EGY";9223;32,2421445773685;29,6927105346589;"Egypt";2012;"Suez";0,729;0,803;0,72;0,668;12,3;9,8;72,2;11770;279
"EGYr105";"Africa";"EGY";70;31,864295100392;31,3885323157287;"Egypt";2012;"Damietta";0,704;0,81;0,711;0,606;11,9;8,3;72,7;11060;1483
"EGYr106";"Africa";"EGY";4229;31,548381826589;31,1163117830468;"Egypt";2012;"Dakahlia";0,695;0,793;0,704;0,602;12,1;8;71,5;10550;6420
"EGYr107";"Africa";"EGY";4596;31,7777647471679;30,6746309067852;"Egypt";2012;"Sharkia";0,677;0,768;0,691;0,583;11,8;7,7;69,9;9680;7472
"EGYr108";"Africa";"EGY";1515;31,3236323947517;30,3232239671461;"Egypt";2012;"Kalyubia";0,692;0,769;0,695;0,619;12,2;8,4;70;9980;4557
"EGYr109";"Africa";"EGY";3965;30,9062996575347;31,335730453911;"Egypt";2012;"Kafr El-Sheikh";0,68;0,785;0,701;0,571;12,1;7,1;71;10330;3600
"EGYr110";"Africa";"EGY";2247;31,0272920357976;30,8601225427849;"Egypt";2012;"Gharbia";0,7;0,785;0,703;0,621;12,1;8,5;71;10510;5492
"EGYr111";"Africa";"EGY";1993;30,954942417448;30,4379241042188;"Egypt";2012;"Menoufia";0,695;0,802;0,698;0,6;12;8;72,1;10170;4368
"EGYr112";"Africa";"EGY";11726;30,2886401612633;30,6339636070024;"Egypt";2012;"Behera";0,662;0,786;0,698;0,529;11,1;6,6;71,1;10190;7177
"EGYr113";"Africa";"EGY";5749;32,372772901137;30,5194417152687;"Egypt";2012;"Ismailia";0,688;0,754;0,707;0,611;11,8;8,5;69;10820;846
"EGYr114";"Africa";"EGY";36966;29,5056329173759;28,8542165009206;"Egypt";2012;"Giza";0,688;0,786;0,702;0,589;11,4;8,2;71,1;10450;8339
"EGYr115";"Africa";"EGY";10935;31,0720175172644;28,8244735401223;"Egypt";2012;"Beni Suef";0,636;0,734;0,678;0,517;10,6;6,7;67,7;8900;3057
"EGYr116";"Africa";"EGY";5163;30,5554115660589;29,2965378723002;"Egypt";2012;"Fayoum";0,637;0,776;0,676;0,493;10,6;5,9;70,5;8760;2955
"EGYr117";"Africa";"EGY";31286;30,5952996368851;28,0883217533065;"Egypt";2012;"Menya";0,63;0,739;0,666;0,509;11,1;6;68;8230;5158
"EGYr118";"Africa";"EGY";16294;31,6035353194062;27,316768859093;"Egypt";2012;"Assuit";0,626;0,729;0,673;0,499;10,5;6,2;67,4;8610;4918
"EGYr119";"Africa";"EGY";9584;32,1421252272986;26,6630710665951;"Egypt";2012;"Souhag";0,635;0,73;0,677;0,518;10,8;6,5;67,4;8810;4590
"EGYr120";"Africa";"EGY";13930;32,9252037289596;25,9670721048874;"Egypt";2012;"Qena";0,655;0,748;0,682;0,55;11,5;6,9;68,6;9130;4139
"EGYr121";"Africa";"EGY";61470;32,5973364936652;23,3478777463232;"Egypt";2012;"Aswan";0,673;0,752;0,693;0,585;11,3;8,2;68,9;9820;1562
"EGYr122";"Africa";"EGY";748462;29,2793864830357;26,277443895831;"Egypt";2012;"Frontier governorates (Red Sea, New Valley, Matroh, North Sainai, South Sainai)";0,68;0,778;0,695;0,582;10,9;8,4;70,6;9970;939
"ERIr101";"Africa";"ERI";23627;41,7571827454458;13,5889981104868;"Eritrea";2012;"Debubawi Keih Bahri";0,475;0,564;0,507;0,375;6,5;5,8;56,6;2880;99
"ERIr102";"Africa";"ERI";1008;38,853884102379;15,3722055059048;"Eritrea";2012;"Maekel";0,654;0,8;0,572;0,611;9,8;10,2;72;4410;752
"ERIr103";"Africa";"ERI";33823;39,0249071010686;16,1412642401585;"Eritrea";2012;"Semenawi Keih Bahri";0,388;0,608;0,393;0,244;6,1;2,2;59,5;1350;405
"ERIr104";"Africa";"ERI";20800;37,7405266234465;16,4603351305498;"Eritrea";2012;"Anseba";0,436;0,767;0,395;0,274;7;2,4;69,9;1360;436
"ERIr105";"Africa";"ERI";33164;37,4195013484591;15,1837565316528;"Eritrea";2012;"Gash-Barka";0,358;0,659;0,368;0,19;5;1,6;62,8;1140;591
"ERIr106";"Africa";"ERI";9091;38,9604641322654;14,8032826908714;"Eritrea";2012;"Debub";0,454;0,682;0,398;0,345;8,1;3,6;64,3;1400;971
