"continent";"iso_code";"sup";"lon";"lat";"country";"year";"idh";"idh_vie";"idh_rev";"idh_edu";"edu_esp";"edu_moy";"esp_vie";"pib_hab";"pop"
"Africa";"AGO";1254253;17,5444575812393;-12,2737752119518;"Angola";2012;0,545;0,594;0,647;0,422;10,5;3,9;58,6;7260;25188
"Africa";"BDI";26336;29,8965823937817;-3,3573818441393;"Burundi";2012;0,412;0,592;0,316;0,374;10,9;2,2;58,5;810;9795
"Africa";"BEN";115844;2,34227587803931;9,65146048995027;"Benin";2012;0,494;0,596;0,496;0,408;11,6;2,6;58,7;2670;10014
"Africa";"BFA";275205;-1,76710918816282;12,2894355380738;"Burkina Faso";2012;0,393;0,579;0,431;0,243;7,3;1,2;57,6;1730;17114
"Africa";"BWA";580188;23,820825116191;-22,1827777140613;"Botswana";2012;0,664;0,628;0,737;0,634;11,6;9,3;60,8;13120;2175
"Africa";"CAF";625251;20,4775872926159;6,57552901274107;"Central African Republic CAR";2012;0,372;0,472;0,378;0,288;6,2;3,5;50,7;1220;4773
"Africa";"CIV";321314;-5,53595956505429;7,61790090124981;"Cote d'Ivoire";2012;0,474;0,556;0,495;0,387;8;4,9;56,2;2650;22011
"Africa";"CMR";469039;12,7404347283959;5,69091749266561;"Cameroon";2012;0,535;0,581;0,529;0,498;11,3;5,5;57,8;3320;21033
"Africa";"COD";2337162;23,660316203401;-2,85869282775739;"Congo Democratic Republic";2012;0,434;0,573;0,323;0,442;8,9;5,9;57,2;850;70998
"Africa";"COG";342320;15,2513712336604;-0,841901128953367;"Congo Brazzaville";2012;0,595;0,651;0,586;0,551;10,5;7,8;62,3;4840;4713
"Africa";"COM";1137;43,7502767922734;-11,9426704009572;"Comoros";2012;0,538;0,644;0,519;0,466;11,3;4,6;61,8;3110;685
"Africa";"CPV";1560;-24,3045620560846;15,8593292395727;"Cape Verde";2012;0,657;0,838;0,631;0,536;12,4;5,7;74,5;6510;534
"Africa";"DJI";20978;42,5583091677913;11,7150453874512;"Djibouti";2012;0,444;0,628;0,535;0,26;5,7;3;60,8;3460;954
"Africa";"DZA";2314050;2,69355179768113;28,053806784081;"Algeria";2012;0,726;0,834;0,711;0,646;14,6;7,3;74,2;11100;37261
"Africa";"EGY";986147;29,7900132661395;26,5383230295647;"Egypt";2012;0,679;0,771;0,696;0,583;11,6;7,9;70,1;10040;91240
"Africa";"ERI";121513;38,8967696462671;15,3372637595588;"Eritrea";2012;0,476;0,69;0,434;0,361;7,4;4,7;64,8;1770;3253
"Africa";"ETH";1134309;39,640013724358;8,61346227856985;"Ethiopia";2012;0,426;0,639;0,4;0,304;8,3;2,2;61,5;1410;94451
"Africa";"GAB";265513;11,7936163058518;-0,62890758108991;"Gabon";2012;0,671;0,686;0,728;0,606;12,1;8,1;64,6;12400;1837
"Africa";"GHA";240480;-1,21383009393897;7,96211268087561;"Ghana";2012;0,583;0,647;0,563;0,543;10,9;7,2;62,1;4170;26859
"Africa";"GIN";246120;-10,9111696726351;10,42025567256;"Guinea";2012;0,425;0,575;0,448;0,298;8,7;1,7;57,4;1940;10789
"Africa";"GMB";9733;-15,495334867547;13,4376990858991;"Gambia";2012;0,457;0,648;0,447;0,329;7,7;3,4;62,1;1930;2061
"Africa";"GNB";32283;-14,9037628577838;12,0449319464252;"Guinea Bissau";2012;0,454;0,58;0,43;0,376;9,7;3,2;57,7;1720;1653
"Africa";"GNQ";27027;10,3495045781884;1,68834498851272;"Equatorial Guinea";2012;0,628;0,598;0,791;0,522;9,7;7,6;58,9;18840;1194
"Africa";"KEN";587744;37,845268222099;0,544906119877538;"Kenya";2012;0,557;0,633;0,536;0,509;10,8;6,3;61,1;3480;43726
"Africa";"LBR";96309;-9,30154845673925;6,45155688960437;"Liberia";2012;0,469;0,614;0,399;0,421;9,9;4,3;59,9;1400;4332
"Africa";"LBY";1619655;18,0846955850516;27,0305333193403;"Libya";2012;0,777;0,804;0,868;0,672;14,8;7,8;72,2;31360;5870
"Africa";"LSO";29409;28,2580592614439;-29,5793666971477;"Lesotho";2012;0,489;0,428;0,511;0,533;11,8;6,2;47,8;2950;2055
"Africa";"MAR";682852;-9,1423253338715;29,0628725687027;"Morocco";2012;0,626;0,795;0,642;0,48;11,6;4,7;71,7;7030;33352
"Africa";"MDG";592985;46,716164528499;-19,3417964535719;"Madagascar";2012;0,492;0,67;0,404;0,44;10,1;4,8;63,5;1450;22966
"Africa";"MLI";1253213;-3,57353709399971;17,3261485156998;"Mali";2012;0,407;0,57;0,442;0,267;7,3;2;57,1;1870;16515
"Africa";"MOZ";790844;35,6157014180132;-17,1988553361297;"Mozambique";2012;0,418;0,548;0,367;0,364;9,8;2,8;55,6;1130;24488
"Africa";"MRT";1044155;-10,3581721828237;20,2262827501367;"Mauritania";2012;0,522;0,67;0,582;0,364;8,2;4,1;63,6;4730;3636
"Africa";"MUS";1178;57,833779120328;-20,1607725970256;"Mauritius";2012;0,774;0,836;0,79;0,701;14,7;8,7;74,4;18630;1256
"Africa";"MWI";117630;34,2828346600214;-13,2416696186735;"Malawi";2012;0,476;0,595;0,392;0,463;10,9;4,8;58,7;1340;15581
"Africa";"NAM";826156;17,2172826146554;-22,0796336309263;"Namibia";2012;0,599;0,579;0,686;0,542;11,6;6,6;57,6;9390;2167
"Africa";"NER";1186165;9,34701641063798;17,4170883349948;"Niger";2012;0,352;0,61;0,364;0,197;5,1;1,6;59,6;1110;17954
