"continent";"iso_code";"sup";"lon";"lat";"country";"year";"idh";"idh_vie";"idh_rev";"idh_edu";"edu_esp";"edu_moy";"esp_vie";"pib_hab";"pop"
"Africa";"GHA";240480;-1,21383009393897;7,96211268087561;"Ghana";1992;0,457;0,557;0,478;0,359;5,9;5,8;56,2;2360;16242
"Africa";"GIN";246120;-10,9111696726351;10,42025567256;"Guinea";1992;0,281;0,436;0,399;0,128;3;1,3;48,4;1400;6832
"Africa";"GMB";9733;-15,495334867547;13,4376990858991;"Gambia";1992;0,34;0,507;0,454;0,171;4,2;1,6;52,9;2020;1127
"Africa";"GNB";32283;-14,9037628577838;12,0449319464252;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Africa";"GNQ";27027;10,3495045781884;1,68834498851272;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Africa";"KEN";587744;37,845268222099;0,544906119877538;"Kenya";1992;0,479;0,573;0,53;0,362;8;4,2;57,3;3330;24656
"Africa";"LBR";96309;-9,30154845673925;6,45155688960437;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Africa";"LBY";1619655;18,0846955850516;27,0305333193403;"Libya";1992;0,735;0,773;0,856;0,599;16,6;4,2;70,2;28900;4445
"Africa";"LSO";29409;28,2580592614439;-29,5793666971477;"Lesotho";1992;0,476;0,593;0,466;0,392;9;4,3;58,6;2180;1859
"Africa";"MAR";682852;-9,1423253338715;29,0628725687027;"Morocco";1992;0,459;0,668;0,56;0,258;6,5;2,3;63,4;4060;25401
"Africa";"MDG";592985;46,716164528499;-19,3417964535719;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Africa";"MLI";1253213;-3,57353709399971;17,3261485156998;"Mali";1992;0,248;0,423;0,397;0,09;2,2;0,9;47,5;1390;9311
"Africa";"MOZ";790844;35,6157014180132;-17,1988553361297;"Mozambique";1992;0,237;0,384;0,215;0,162;3,9;1,6;44,9;420;13817
"Africa";"MRT";1044155;-10,3581721828237;20,2262827501367;"Mauritania";1992;0,41;0,619;0,57;0,194;4,1;2,4;60,3;4360;2148
"Africa";"MUS";1178;57,833779120328;-20,1607725970256;"Mauritius";1992;0,633;0,774;0,678;0,482;10,2;5,9;70,3;8910;1084
"Africa";"MWI";117630;34,2828346600214;-13,2416696186735;"Malawi";1992;0,31;0,36;0,327;0,254;6,3;2,4;43,4;870;10115
"Africa";"NAM";826156;17,2172826146554;-22,0796336309263;"Namibia";1992;0,603;0,639;0,638;0,537;12,5;5,7;61,5;6830;1462
"Africa";"NER";1186165;9,34701641063798;17,4170883349948;"Niger";1992;0,218;0,353;0,353;0,083;2;0,8;42,9;1040;8908
"Africa";"NGA";906469;8,09114033459286;9,61867891355803;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Africa";"RWA";24833;29,9270284816468;-1,99057429026376;"Rwanda";1992;0,305;0,374;0,335;0,226;5,7;2;44,3;920;7657
"Africa";"SDN";1880175;29,9733973981068;16,0291611333855;"Sudan";1992;0,318;0,398;0,496;0,164;3,9;1,7;45,9;2660;21780
"Africa";"SEN";198945;-14,4607512918684;14,3592648156142;"Senegal";1992;0,373;0,571;0,48;0,19;4,5;1,9;57,1;2390;7975
"Africa";"SLE";71437;-11,7691393205187;8,54303476076321;"Sierra Leone";1992;0,305;0,363;0,406;0,193;4,4;2,1;43,6;1470;4302
"Africa";"SOM";635281;45,8467320618944;6,0448501687124;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Africa";"SSD";628755;30,3336011198808;7,29696841218381;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Africa";"STP";520;6,70756497658304;0,450600365299652;"Sao Tome & Principe";1992;0,481;0,635;0,471;0,371;8,3;4,2;61,3;2260;126
"Africa";"SWZ";15920;31,524160198978;-26,570322194995;"Eswatini";1992;0,537;0,642;0,593;0,407;9,5;4,3;61,7;5080;925
"Africa";"TCD";1274374;18,6581593521786;15,3104334862935;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Africa";"TGO";57243;0,981263373149609;8,53368506035608;"Togo";1992;0,395;0,528;0,414;0,283;7,2;2,5;54,3;1550;4106
"Africa";"TUN";153968;9,59532419283546;34,068561262626;"Tunisia";1992;0,578;0,78;0,615;0,403;10;3,7;70,7;5870;8803
"Africa";"TZA";893668;34,9694851008064;-6,43756445811502;"Tanzania";1992;0,365;0,477;0,383;0,267;5,4;3,5;51;1260;27581
"Africa";"UGA";210464;32,3380126475918;1,53548585129262;"Uganda";1992;0,325;0,406;0,331;0,257;5,2;3,3;46,4;890;18802
"Africa";"ZAF";1222012;25,1959288018805;-28,9812879182551;"South Africa";1992;0,648;0,667;0,687;0,593;12,7;7,2;63,3;9440;41761
"Africa";"ZMB";755650;27,8255777437931;-13,4531131983767;"Zambia";1992;0,408;0,408;0,445;0,375;7,9;4,7;46,5;1900;8074
"Africa";"ZWE";390231;29,8735566917531;-18,9932270948681;"Zimbabwe";1992;0,465;0,561;0,406;0,442;9,5;5,3;56,4;1470;10642
