"continent";"iso_code";"sup";"lon";"lat";"country";"year";"idh";"idh_vie";"idh_rev";"idh_edu";"edu_esp";"edu_moy";"esp_vie";"pib_hab";"pop"
"Africa";"AGO";1254253;17,5444575812393;-12,2737752119518;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Africa";"BDI";26336;29,8965823937817;-3,3573818441393;"Burundi";1992;0,284;0,368;0,369;0,169;4,2;1,6;43,9;1150;5743
"Africa";"BEN";115844;2,34227587803931;9,65146048995027;"Benin";1992;0,36;0,524;0,457;0,196;5,1;1,6;54,1;2050;5458
"Africa";"BFA";275205;-1,76710918816282;12,2894355380738;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Africa";"BWA";580188;23,820825116191;-22,1827777140613;"Botswana";1992;0,585;0,59;0,691;0,492;10,5;6;58,3;9690;1421
"Africa";"CAF";625251;20,4775872926159;6,57552901274107;"Central African Republic CAR";1992;0,312;0,443;0,378;0,18;4,1;2;48,8;1220;2992
"Africa";"CIV";321314;-5,53595956505429;7,61790090124981;"Cote d'Ivoire";1992;0,428;0,494;0,495;0,321;5,6;5;52,1;2650;12838
"Africa";"CMR";469039;12,7404347283959;5,69091749266561;"Cameroon";1992;0,433;0,53;0,51;0,3;8;2,3;54,5;2930;12129
"Africa";"COD";2337162;23,660316203401;-2,85869282775739;"Congo Democratic Republic";1992;0,375;0,45;0,382;0,307;6,3;3,9;49,2;1250;38332
"Africa";"COG";342320;15,2513712336604;-0,841901128953367;"Congo Brazzaville";1992;0,536;0,533;0,574;0,504;10,7;6,2;54,7;4460;2521
"Africa";"COM";1137;43,7502767922734;-11,9426704009572;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Africa";"CPV";1560;-24,3045620560846;15,8593292395727;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Africa";"DJI";20978;42,5583091677913;11,7150453874512;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Africa";"DZA";2314050;2,69355179768113;28,053806784081;"Algeria";1992;0,601;0,735;0,666;0,443;9,9;5;67,8;8210;26748
"Africa";"EGY";986147;29,7900132661395;26,5383230295647;"Egypt";1992;0,58;0,693;0,628;0,45;9,4;5,6;65;6370;59989
"Africa";"ERI";121513;38,8967696462671;15,3372637595588;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Africa";"ETH";1134309;39,640013724358;8,61346227856985;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"Africa";"GAB";265513;11,7936163058518;-0,62890758108991;"Gabon";1992;0,605;0,624;0,762;0,466;11,2;4,7;60,5;15500;1037
