"iso3";"name";"nom";"POP";"PIB";"IDH";"ADOFEC";"CO2HAB";"EMPAGR";"EMPSER";"INTERN";"ESPVIE";"AGEMED";"TELMOB";"MORINF";"TXMIGR";"DVIEUX";"TUBERC";"URBANI";"DJEUNE";"SUBREG";"LOCKED";"COLFRA";"COLGBR";"LANGFR";"LANGEN"
"MOZ";"Mozambique";"Mozambique";29,9;1285;0,454;149,9;0,28;70,5;21,1;10,0;60,5;17,6;47,7;54,0;-0,2;5,5;551,0;36,3;84,6;"Eastern Africa";0;0;0;0;0
"MRT";"Mauritania";"Mauritanie";4,5;5120;0,544;72,0;0,60;51,7;35,5;20,8;64,8;20,1;103,7;51,5;1,2;5,5;93,0;54,1;70,3;"Western Africa";0;1;0;0;0
"MWI";"Malawi";"Malawi";18,4;1051;0,481;134,1;0,08;43,9;42,3;13,8;64,0;18,1;39,0;35,3;-0,9;4,9;181,0;17,1;81,4;"Eastern Africa";1;0;1;0;1
"NAM";"Namibia";"Namibie";2,5;9785;0,646;65,5;1,75;22,4;61,4;51,0;63,5;21,8;112,7;29,0;-2,0;6,1;524,0;50,5;62,1;"Southern Africa";0;0;0;0;1
"NER";"Niger";"Niger";22,9;1208;0,393;188,3;0,10;75,2;17,6;5,3;62,2;15,2;40,6;48,0;0,2;5,5;87,0;16,5;105,1;"Western Africa";1;1;0;1;0
"NGA";"Nigeria";"Nigéria";198,4;5145;0,537;108,5;0,65;35,3;52,4;42,0;54,5;18,1;88,2;75,7;-0,3;5,1;219,0;50,8;81,9;"Western Africa";0;0;1;0;1
"RWA";"Rwanda";"Rwanda";12,5;2157;0,542;39,3;0,09;62,8;28,4;21,8;68,9;20,0;78,9;27,0;-0,7;5,2;59,0;17,3;69,8;"Eastern Africa";1;0;0;1;1
"SDN";"Sudan";"Soudan";42,3;4060;0,508;66,0;0,50;40,0;43,5;30,9;65,2;19,7;72,0;42,1;-1,2;6,4;71,0;34,8;71,9;"Northern Africa";0;0;1;0;0
"SSD";"S. Sudan";"Sud Soudan";11,0;;0,431;64,0;0,17;57,3;29,0;8,0;57,7;19,0;33,5;63,7;-15,9;6,2;146,0;19,8;75,9;"Eastern Africa";1;0;1;0;0
"SEN";"Senegal";"Sénégal";16,1;3355;0,514;74,1;0,74;30,4;56,2;46,0;67,8;18,5;104,5;31,8;-1,3;5,7;118,0;47,5;79,6;"Western Africa";0;1;0;1;0
"SLE";"Sierra Leone";"Sierra Leone";7,7;1691;0,450;114,5;0,14;55,2;38,4;9,0;54,5;19,4;88,5;78,5;-0,6;5,3;298,0;42,3;72,8;"Western Africa";0;0;1;0;1
"SOM";"Somalia";"Somalie";15,2;;;101,4;0,05;83,2;13,2;2,0;57,2;16,7;48,8;76,6;-2,7;5,7;262,0;45,3;91,8;"Eastern Africa";0;0;1;0;1
"SWZ";"Swaziland";"Swaziland";1,1;8647;0,608;77,1;1,05;12,6;63,5;47,0;59,8;20,7;93,5;43,0;-7,4;6,9;329,0;23,9;65,5;"Southern Africa";1;0;1;0;1
"TCD";"Chad";"Tchad";15,7;1578;0,398;163,2;0,07;76,7;21,2;6,5;54,1;16,6;45,1;71,4;0,1;4,9;142,0;23,2;92,9;"Middle Africa";1;1;0;1;0
"TGO";"Togo";"Togo";8,0;1574;0,513;89,4;0,43;38,0;49,1;12,4;60,9;19,4;77,9;47,4;-0,3;5,1;36,0;42,0;73,6;"Western Africa";0;1;0;1;0
"TUN";"Tunisia";"Tunisie";11,6;10760;0,739;7,8;2,73;13,2;54,2;64,2;76,6;32,8;127,7;14,6;-0,3;12,6;35,0;69,1;35,9;"Northern Africa";0;1;0;1;0
"TZA";"Tanzania";"Tanzanie";57,2;2625;0,527;119,0;0,22;65,5;27,7;25,0;65,2;18,0;77,2;37,6;-0,7;4,9;253,0;34,2;82,3;"Eastern Africa";0;0;1;0;1
"UGA";"Uganda";"Ouganda";43,5;2152;0,541;120,5;0,14;72,8;20,6;23,7;63,2;16,7;57,3;33,8;4,0;3,8;200,0;24,1;91,0;"Eastern Africa";1;0;1;0;1
"ZAF";"South Africa";"Afrique du Sud";58,2;12556;0,708;68,4;8,09;5,1;71,8;56,2;64,0;27,6;153,3;28,5;2,5;8,2;520,0;66,7;44,2;"Southern Africa";0;0;1;0;1
"ZMB";"Zambia";"Zambie";17,6;3501;0,583;122,2;0,30;49,1;40,1;14,3;63,7;17,6;89,2;40,4;-0,5;4,0;346,0;43,8;84,0;"Eastern Africa";1;0;1;0;1
"ZWE";"Zimbabwe";"Zimbabwe";14,5;2983;0,570;89,0;0,85;66,4;26,8;27,1;61,3;18,7;89,4;33,9;-8,2;5,4;210,0;32,2;77,2;"Eastern Africa";1;0;1;0;1
